"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"IMPDH_2","","Inosine-5'-monophosphate dehydrogenase","14","14","1","1","490","","","","1277","1277","1277","GPSC15_reference_00985","GPSC17_reference_01020","GPSC22_reference_00999","GPSC25_reference_01121","GPSC26_reference_01034","GPSC32_reference_01074","GPSC34_reference_01027","GPSC37_reference_01005","GPSC3_reference_01057","GPSC4_reference_00966","GPSC5_reference_01041","GPSC8_reference_01106","JYGP01_00904","NC_017592_01031"
"group_4560","","hypothetical protein","14","14","1","1","3219","","","","293","293","293","GPSC15_reference_00503","GPSC17_reference_00543","GPSC22_reference_00503","GPSC25_reference_00641","GPSC26_reference_00509","GPSC32_reference_00584","GPSC34_reference_00550","GPSC37_reference_00526","GPSC3_reference_00514","GPSC4_reference_00480","GPSC5_reference_00577","GPSC8_reference_00582","JYGP01_01842","NC_017592_00531"
"map","","Methionine aminopeptidase 1","14","14","1","1","491","","","","860","860","860","GPSC15_reference_00986","GPSC17_reference_01021","GPSC22_reference_01000","GPSC25_reference_01122","GPSC26_reference_01033","GPSC32_reference_01075","GPSC34_reference_01028","GPSC37_reference_01006","GPSC3_reference_01056","GPSC4_reference_00967","GPSC5_reference_01042","GPSC8_reference_01107","JYGP01_00903","NC_017592_01032"
"tsaD","","tRNA N6-adenosine threonylcarbamoyltransferase","14","14","1","1","3797","","","","1010","1010","1010","GPSC15_reference_00154","GPSC17_reference_00136","GPSC22_reference_00135","GPSC25_reference_00248","GPSC26_reference_00133","GPSC32_reference_00228","GPSC34_reference_00181","GPSC37_reference_00170","GPSC3_reference_00171","GPSC4_reference_00127","GPSC5_reference_00206","GPSC8_reference_00199","JYGP01_01579","NC_017592_00185"
"def_1","","Peptide deformylase","14","14","1","1","3135","","","","611","611","611","GPSC15_reference_01287","GPSC17_reference_01346","GPSC22_reference_01316","GPSC25_reference_01443","GPSC26_reference_01413","GPSC32_reference_01456","GPSC34_reference_01310","GPSC37_reference_01304","GPSC3_reference_01414","GPSC4_reference_01242","GPSC5_reference_01366","GPSC8_reference_01426","JYGP01_01093","NC_017592_01327"
"hmo","","4-hydroxymandelate oxidase","14","14","1","1","1575","","","","1136","1136","1136","GPSC15_reference_00644","GPSC17_reference_00676","GPSC22_reference_00642","GPSC25_reference_00779","GPSC26_reference_00663","GPSC32_reference_00723","GPSC34_reference_00683","GPSC37_reference_00666","GPSC3_reference_00656","GPSC4_reference_00619","GPSC5_reference_00713","GPSC8_reference_00725","JYGP01_01158","NC_017592_00668"
"asd","","Aspartate-semialdehyde dehydrogenase","14","14","1","1","4650","","","","1076","1076","1076","GPSC15_reference_00945","GPSC17_reference_00961","GPSC22_reference_00926","GPSC25_reference_01062","GPSC26_reference_01001","GPSC32_reference_01012","GPSC34_reference_00964","GPSC37_reference_00954","GPSC3_reference_01127","GPSC4_reference_00901","GPSC5_reference_00989","GPSC8_reference_01009","JYGP01_00885","NC_017592_00952"
"group_4568","","hypothetical protein","14","14","1","1","3131","","","","224","224","224","GPSC15_reference_00754","GPSC17_reference_01349","GPSC22_reference_01319","GPSC25_reference_01446","GPSC26_reference_01416","GPSC32_reference_01459","GPSC34_reference_01313","GPSC37_reference_01307","GPSC3_reference_01417","GPSC4_reference_01245","GPSC5_reference_01369","GPSC8_reference_01429","JYGP01_01096","NC_017592_01330"
"atpG","","ATP synthase gamma chain","14","14","1","1","3279","","","","878","878","878","GPSC15_reference_01314","GPSC17_reference_01390","GPSC22_reference_01359","GPSC25_reference_01487","GPSC26_reference_01459","GPSC32_reference_01502","GPSC34_reference_01355","GPSC37_reference_01349","GPSC3_reference_01459","GPSC4_reference_01388","GPSC5_reference_01411","GPSC8_reference_01473","JYGP01_01064","NC_017592_01371"
"btuD_5","","Multidrug efflux system ATP-binding protein","14","14","1","1","2371","","","","893","893","893","GPSC15_reference_01515","GPSC17_reference_01583","GPSC22_reference_01539","GPSC25_reference_01670","GPSC26_reference_01650","GPSC32_reference_01683","GPSC34_reference_01603","GPSC37_reference_01548","GPSC3_reference_01646","GPSC4_reference_01580","GPSC5_reference_01670","GPSC8_reference_01679","JYGP01_01443","NC_017592_01572"
"dnaN","","Beta sliding clamp","14","14","1","1","3605","","","","1136","1136","1136","GPSC15_reference_00034","GPSC17_reference_00010","GPSC22_reference_00009","GPSC25_reference_00063","GPSC26_reference_00002","GPSC32_reference_00098","GPSC34_reference_00054","GPSC37_reference_02083","GPSC3_reference_00002","GPSC4_reference_02114","GPSC5_reference_00035","GPSC8_reference_00002","JYGP01_01688","NC_017592_00002"
"trmB","","tRNA (guanine-N(7)-)-methyltransferase","14","14","1","1","3222","","","","635","635","635","GPSC15_reference_00500","GPSC17_reference_00540","GPSC22_reference_00500","GPSC25_reference_00638","GPSC26_reference_00506","GPSC32_reference_00581","GPSC34_reference_00547","GPSC37_reference_00523","GPSC3_reference_00511","GPSC4_reference_00483","GPSC5_reference_00574","GPSC8_reference_00579","JYGP01_01839","NC_017592_00528"
"glyQ","","Glycine--tRNA ligase alpha subunit","14","14","1","1","2034","","","","917","917","917","GPSC15_reference_00738","GPSC17_reference_01365","GPSC22_reference_01335","GPSC25_reference_01462","GPSC26_reference_01432","GPSC32_reference_01475","GPSC34_reference_01329","GPSC37_reference_01323","GPSC3_reference_01433","GPSC4_reference_01261","GPSC5_reference_01385","GPSC8_reference_01445","JYGP01_01112","NC_017592_01346"
"lacA","","Galactose-6-phosphate isomerase subunit LacA","14","14","1","1","88","","","","425","425","425","GPSC15_reference_01066","GPSC17_reference_01119","GPSC22_reference_01086","GPSC25_reference_01224","GPSC26_reference_01029","GPSC32_reference_01215","GPSC34_reference_01104","GPSC37_reference_01088","GPSC3_reference_01162","GPSC4_reference_01013","GPSC5_reference_01138","GPSC8_reference_01186","JYGP01_00717","NC_017592_01109"
"groL","","60 kDa chaperonin","14","14","1","1","2742","","","","1622","1622","1622","GPSC15_reference_01692","GPSC17_reference_01781","GPSC22_reference_01743","GPSC25_reference_01834","GPSC26_reference_01841","GPSC32_reference_01847","GPSC34_reference_01770","GPSC37_reference_01743","GPSC3_reference_01837","GPSC4_reference_01778","GPSC5_reference_01820","GPSC8_reference_01899","JYGP01_01871","NC_017592_01767"
"pucK","","Uric acid permease PucK","14","14","1","1","1378","","","","1262","1262","1262","GPSC15_reference_01624","GPSC17_reference_01710","GPSC22_reference_01669","GPSC25_reference_01772","GPSC26_reference_01760","GPSC32_reference_01776","GPSC34_reference_01702","GPSC37_reference_01672","GPSC3_reference_01755","GPSC4_reference_01709","GPSC5_reference_01773","GPSC8_reference_01816","JYGP01_00275","NC_017592_01686"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","14","14","1","1","1459","","","","1121","1121","1121","GPSC15_reference_00142","GPSC17_reference_00126","GPSC22_reference_00125","GPSC25_reference_00238","GPSC26_reference_00123","GPSC32_reference_00218","GPSC34_reference_00171","GPSC37_reference_00160","GPSC3_reference_00161","GPSC4_reference_00117","GPSC5_reference_00196","GPSC8_reference_00189","JYGP01_01589","NC_017592_00175"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","14","14","1","1","1619","","","","422","422","422","GPSC15_reference_00411","GPSC17_reference_00443","GPSC22_reference_00400","GPSC25_reference_00540","GPSC26_reference_00407","GPSC32_reference_00485","GPSC34_reference_00451","GPSC37_reference_00422","GPSC3_reference_00415","GPSC4_reference_00382","GPSC5_reference_00474","GPSC8_reference_00479","JYGP01_01361","NC_017592_00436"
"pnp","","Polyribonucleotide nucleotidyltransferase","14","14","1","1","2151","","","","2207","2213","2212","GPSC15_reference_00536","GPSC17_reference_00574","GPSC22_reference_00536","GPSC25_reference_00672","GPSC26_reference_00547","GPSC32_reference_00615","GPSC34_reference_00585","GPSC37_reference_00559","GPSC3_reference_00547","GPSC4_reference_00447","GPSC5_reference_00608","GPSC8_reference_00621","JYGP01_01310","NC_017592_00564"
"uvrA","","UvrABC system protein A","14","14","1","1","3709","","","","2831","2831","2831","GPSC15_reference_00198","GPSC17_reference_00182","GPSC22_reference_00196","GPSC25_reference_00310","GPSC26_reference_00185","GPSC32_reference_00270","GPSC34_reference_00240","GPSC37_reference_00220","GPSC3_reference_00220","GPSC4_reference_00169","GPSC5_reference_00266","GPSC8_reference_00241","JYGP01_01553","NC_017592_00230"
"tcyN","","L-cystine import ATP-binding protein TcyC","14","14","1","1","3130","","","","743","743","743","GPSC15_reference_00753","GPSC17_reference_01350","GPSC22_reference_01320","GPSC25_reference_01447","GPSC26_reference_01417","GPSC32_reference_01460","GPSC34_reference_01314","GPSC37_reference_01308","GPSC3_reference_01418","GPSC4_reference_01246","GPSC5_reference_01370","GPSC8_reference_01430","JYGP01_01097","NC_017592_01331"
"mntB","","Manganese transport system membrane protein MntB","14","14","1","1","2683","","","","848","848","848","GPSC15_reference_01447","GPSC17_reference_01518","GPSC22_reference_01476","GPSC25_reference_01607","GPSC26_reference_01583","GPSC32_reference_01617","GPSC34_reference_01535","GPSC37_reference_01481","GPSC3_reference_01578","GPSC4_reference_01511","GPSC5_reference_01600","GPSC8_reference_01610","JYGP01_00385","NC_017592_01505"
"rpsL","","30S ribosomal protein S12","14","14","1","1","4128","","","","413","413","413","GPSC15_reference_00275","GPSC17_reference_00258","GPSC22_reference_00271","GPSC25_reference_00393","GPSC26_reference_00262","GPSC32_reference_00350","GPSC34_reference_00318","GPSC37_reference_00298","GPSC3_reference_00295","GPSC4_reference_00248","GPSC5_reference_00349","GPSC8_reference_00323","JYGP01_01717","NC_017592_00309"
"group_4584","","hypothetical protein","14","14","1","1","148","","","","1262","1262","1262","GPSC15_reference_00802","GPSC17_reference_00816","GPSC22_reference_00784","GPSC25_reference_00921","GPSC26_reference_00809","GPSC32_reference_00865","GPSC34_reference_00819","GPSC37_reference_00814","GPSC3_reference_00799","GPSC4_reference_00764","GPSC5_reference_00858","GPSC8_reference_00867","JYGP01_00615","NC_017592_00809"
"group_4585","","hypothetical protein","14","14","1","1","3223","","","","794","794","794","GPSC15_reference_00499","GPSC17_reference_00539","GPSC22_reference_00499","GPSC25_reference_00637","GPSC26_reference_00505","GPSC32_reference_00580","GPSC34_reference_00546","GPSC37_reference_00522","GPSC3_reference_00510","GPSC4_reference_00484","GPSC5_reference_00573","GPSC8_reference_00578","JYGP01_01838","NC_017592_00527"
"skfE","","SkfA peptide export ATP-binding protein SkfE","14","14","1","1","2374","","","","695","695","695","GPSC15_reference_01512","GPSC17_reference_01580","GPSC22_reference_01536","GPSC25_reference_01667","GPSC26_reference_01647","GPSC32_reference_01680","GPSC34_reference_01600","GPSC37_reference_01545","GPSC3_reference_01643","GPSC4_reference_01577","GPSC5_reference_01667","GPSC8_reference_01676","JYGP01_00330","NC_017592_01569"
"yrrK","","Putative pre-16S rRNA nuclease","14","14","1","1","3680","","","","419","419","419","GPSC15_reference_00203","GPSC17_reference_00187","GPSC22_reference_00201","GPSC25_reference_00315","GPSC26_reference_00190","GPSC32_reference_00275","GPSC34_reference_00245","GPSC37_reference_00225","GPSC3_reference_00225","GPSC4_reference_00174","GPSC5_reference_00271","GPSC8_reference_00246","JYGP01_01547","NC_017592_00235"
"group_4588","","Putative TrmH family tRNA/rRNA methyltransferase","14","14","1","1","3133","","","","728","728","728","GPSC15_reference_01288","GPSC17_reference_01347","GPSC22_reference_01317","GPSC25_reference_01444","GPSC26_reference_01414","GPSC32_reference_01457","GPSC34_reference_01311","GPSC37_reference_01305","GPSC3_reference_01415","GPSC4_reference_01243","GPSC5_reference_01367","GPSC8_reference_01427","JYGP01_01094","NC_017592_01328"
"group_4589","","hypothetical protein","14","14","1","1","236","","","","215","215","215","GPSC15_reference_00432","GPSC17_reference_00466","GPSC22_reference_00424","GPSC25_reference_00564","GPSC26_reference_00432","GPSC32_reference_00506","GPSC34_reference_00474","GPSC37_reference_00447","GPSC3_reference_00438","GPSC4_reference_00405","GPSC5_reference_00495","GPSC8_reference_00502","JYGP01_01464","NC_017592_00460"
"hslO","","33 kDa chaperonin","14","14","1","1","3536","","","","872","872","872","GPSC15_reference_01965","GPSC17_reference_02050","GPSC22_reference_02014","GPSC25_reference_00006","GPSC26_reference_02143","GPSC32_reference_00045","GPSC34_reference_02057","GPSC37_reference_02022","GPSC3_reference_02131","GPSC4_reference_02058","GPSC5_reference_02147","GPSC8_reference_02211","JYGP01_01634","NC_017592_02054"
"thrS","","Threonine--tRNA ligase","14","14","1","1","1890","","","","1943","1943","1943","GPSC15_reference_01431","GPSC17_reference_01501","GPSC22_reference_01460","GPSC25_reference_01590","GPSC26_reference_01567","GPSC32_reference_01601","GPSC34_reference_01518","GPSC37_reference_01465","GPSC3_reference_01562","GPSC4_reference_01493","GPSC5_reference_01586","GPSC8_reference_01594","JYGP01_00404","NC_017592_01489"
"group_4592","","hypothetical protein","14","14","1","1","2357","","","","617","617","617","GPSC15_reference_01517","GPSC17_reference_01584","GPSC22_reference_01540","GPSC25_reference_01672","GPSC26_reference_01652","GPSC32_reference_01684","GPSC34_reference_01605","GPSC37_reference_01550","GPSC3_reference_01647","GPSC4_reference_01582","GPSC5_reference_01672","GPSC8_reference_01681","JYGP01_01318","NC_017592_01573"
"speE","","Polyamine aminopropyltransferase","14","14","1","1","470","","","","860","860","860","GPSC15_reference_00847","GPSC17_reference_00865","GPSC22_reference_00834","GPSC25_reference_00972","GPSC26_reference_00854","GPSC32_reference_00917","GPSC34_reference_00870","GPSC37_reference_00862","GPSC3_reference_00906","GPSC4_reference_00809","GPSC5_reference_00908","GPSC8_reference_00917","JYGP01_00850","NC_017592_00861"
"dapX","","putative N-acetyl-LL-diaminopimelate aminotransferase","14","14","1","1","1770","","","","1169","1169","1169","GPSC15_reference_00066","GPSC17_reference_00047","GPSC22_reference_00043","GPSC25_reference_00150","GPSC26_reference_00039","GPSC32_reference_00135","GPSC34_reference_00087","GPSC37_reference_00076","GPSC3_reference_00079","GPSC4_reference_00036","GPSC5_reference_00116","GPSC8_reference_00093","JYGP01_00025","NC_017592_00088"
"acyP","","Acylphosphatase","14","14","1","1","4049","","","","278","278","278","GPSC15_reference_01747","GPSC17_reference_01835","GPSC22_reference_01801","GPSC25_reference_01900","GPSC26_reference_01900","GPSC32_reference_01911","GPSC34_reference_01827","GPSC37_reference_01807","GPSC3_reference_01891","GPSC4_reference_01833","GPSC5_reference_01884","GPSC8_reference_01955","JYGP01_01768","NC_017592_01823"
"nusG","","Transcription termination/antitermination protein NusG","14","14","1","1","4117","","","","536","536","536","GPSC15_reference_01780","GPSC17_reference_01868","GPSC22_reference_01836","GPSC25_reference_01937","GPSC26_reference_01948","GPSC32_reference_01946","GPSC34_reference_01861","GPSC37_reference_01848","GPSC3_reference_01940","GPSC4_reference_01875","GPSC5_reference_01927","GPSC8_reference_02003","JYGP01_00228","NC_017592_01871"
"ycjP","","Inner membrane ABC transporter permease protein YcjP","14","14","1","1","2427","","","","833","833","833","GPSC15_reference_01484","GPSC17_reference_01553","GPSC22_reference_01511","GPSC25_reference_01641","GPSC26_reference_01620","GPSC32_reference_01653","GPSC34_reference_01573","GPSC37_reference_01519","GPSC3_reference_01617","GPSC4_reference_01547","GPSC5_reference_01637","GPSC8_reference_01647","JYGP01_00349","NC_017592_01543"
"efp","","Elongation factor P","14","14","1","1","1593","","","","560","560","560","GPSC15_reference_00418","GPSC17_reference_00451","GPSC22_reference_00408","GPSC25_reference_00548","GPSC26_reference_00418","GPSC32_reference_00493","GPSC34_reference_00459","GPSC37_reference_00432","GPSC3_reference_00423","GPSC4_reference_00390","GPSC5_reference_00481","GPSC8_reference_00487","JYGP01_01353","NC_017592_00446"
"oppF","","Oligopeptide transport ATP-binding protein OppF","14","14","1","1","1292","","","","926","926","926","GPSC15_reference_01661","GPSC17_reference_01751","GPSC22_reference_01710","GPSC25_reference_01812","GPSC26_reference_01801","GPSC32_reference_01818","GPSC34_reference_01741","GPSC37_reference_01712","GPSC3_reference_01797","GPSC4_reference_01748","GPSC5_reference_02005","GPSC8_reference_01857","JYGP01_01785","NC_017592_01725"
"ybeY","","Endoribonuclease YbeY","14","14","1","1","3920","","","","497","497","497","GPSC15_reference_00895","GPSC17_reference_00913","GPSC22_reference_00881","GPSC25_reference_01019","GPSC26_reference_00901","GPSC32_reference_00964","GPSC34_reference_00918","GPSC37_reference_00909","GPSC3_reference_00953","GPSC4_reference_00857","GPSC5_reference_00946","GPSC8_reference_00965","JYGP01_00661","NC_017592_00907"
"brnQ","","Branched-chain amino acid transport system 2 carrier protein","14","14","1","1","3254","","","","1325","1325","1325","GPSC15_reference_00568","GPSC17_reference_00606","GPSC22_reference_00568","GPSC25_reference_00704","GPSC26_reference_00579","GPSC32_reference_00646","GPSC34_reference_00616","GPSC37_reference_00590","GPSC3_reference_00578","GPSC4_reference_00544","GPSC5_reference_00639","GPSC8_reference_00652","JYGP01_01286","NC_017592_00595"
"engB","","putative GTP-binding protein EngB","14","14","1","1","2915","","","","587","587","587","GPSC15_reference_01372","GPSC17_reference_01451","GPSC22_reference_01417","GPSC25_reference_01545","GPSC26_reference_01523","GPSC32_reference_01559","GPSC34_reference_01474","GPSC37_reference_01409","GPSC3_reference_01517","GPSC4_reference_01448","GPSC5_reference_01528","GPSC8_reference_01533","JYGP01_01269","NC_017592_01430"
"gyrB","","DNA gyrase subunit B","14","14","1","1","334","","","","1946","1946","1946","GPSC15_reference_00728","GPSC17_reference_00762","GPSC22_reference_00729","GPSC25_reference_00865","GPSC26_reference_00752","GPSC32_reference_00812","GPSC34_reference_00769","GPSC37_reference_00753","GPSC3_reference_00744","GPSC4_reference_00710","GPSC5_reference_00797","GPSC8_reference_00814","JYGP01_00570","NC_017592_00752"
"fhs1","","Formate--tetrahydrofolate ligase 1","14","14","1","1","4406","","","","1670","1670","1670","GPSC15_reference_01098","GPSC17_reference_01153","GPSC22_reference_01119","GPSC25_reference_01256","GPSC26_reference_01216","GPSC32_reference_01246","GPSC34_reference_01137","GPSC37_reference_01119","GPSC3_reference_01196","GPSC4_reference_01048","GPSC5_reference_01171","GPSC8_reference_01219","JYGP01_00940","NC_017592_01141"
"ilvB","","Acetolactate synthase large subunit","14","14","1","1","230","","","","1700","1700","1700","GPSC15_reference_00426","GPSC17_reference_00460","GPSC22_reference_00418","GPSC25_reference_00558","GPSC26_reference_00426","GPSC32_reference_00501","GPSC34_reference_00468","GPSC37_reference_00441","GPSC3_reference_00432","GPSC4_reference_00399","GPSC5_reference_00489","GPSC8_reference_00496","JYGP01_01468","NC_017592_00454"
"group_4606","","putative AAA domain-containing protein","14","14","1","1","2279","","","","1271","1271","1271","GPSC15_reference_01567","GPSC17_reference_01658","GPSC22_reference_01616","GPSC25_reference_01721","GPSC26_reference_01706","GPSC32_reference_01733","GPSC34_reference_01654","GPSC37_reference_01620","GPSC3_reference_01699","GPSC4_reference_01652","GPSC5_reference_01720","GPSC8_reference_01754","JYGP01_00304","NC_017592_01623"
"pgcA","","Phosphoglucomutase","14","14","1","1","3291","","","","1718","1718","1718","GPSC15_reference_01304","GPSC17_reference_01379","GPSC22_reference_01349","GPSC25_reference_01477","GPSC26_reference_01449","GPSC32_reference_01492","GPSC34_reference_01345","GPSC37_reference_01339","GPSC3_reference_01449","GPSC4_reference_01377","GPSC5_reference_01401","GPSC8_reference_01463","JYGP01_00921","NC_017592_01361"
"group_4608","","hypothetical protein","14","14","1","1","1506","","","","233","233","233","GPSC15_reference_00510","GPSC17_reference_00549","GPSC22_reference_00511","GPSC25_reference_00648","GPSC26_reference_00515","GPSC32_reference_00591","GPSC34_reference_00558","GPSC37_reference_00533","GPSC3_reference_00521","GPSC4_reference_00473","GPSC5_reference_00584","GPSC8_reference_00595","JYGP01_01852","NC_017592_00538"
"group_4609","","putative ABC transporter ATP-binding protein","14","14","1","1","2885","","","","647","647","647","GPSC15_reference_00545","GPSC17_reference_00582","GPSC22_reference_00545","GPSC25_reference_00680","GPSC26_reference_00555","GPSC32_reference_00623","GPSC34_reference_00593","GPSC37_reference_00567","GPSC3_reference_00555","GPSC4_reference_00520","GPSC5_reference_00616","GPSC8_reference_00629","JYGP01_00436","NC_017592_00572"
"adk","","Adenylate kinase","14","14","1","1","3986","","","","638","638","638","GPSC15_reference_00236","GPSC17_reference_00220","GPSC22_reference_00234","GPSC25_reference_00349","GPSC26_reference_00223","GPSC32_reference_00308","GPSC34_reference_00278","GPSC37_reference_00258","GPSC3_reference_00258","GPSC4_reference_00207","GPSC5_reference_00304","GPSC8_reference_00279","JYGP01_01516","NC_017592_00268"
"tcyA","","L-cystine-binding protein TcyA","14","14","1","1","3771","","","","821","830","829","GPSC15_reference_00173","GPSC17_reference_00157","GPSC22_reference_00156","GPSC25_reference_00268","GPSC26_reference_00152","GPSC32_reference_00245","GPSC34_reference_00199","GPSC37_reference_00188","GPSC3_reference_00195","GPSC4_reference_00144","GPSC5_reference_00224","GPSC8_reference_00216","JYGP01_01572","NC_017592_00205"
"group_4612","","hypothetical protein","14","14","1","1","296","","","","215","215","215","GPSC15_reference_00703","GPSC17_reference_00737","GPSC22_reference_00703","GPSC25_reference_00839","GPSC26_reference_00725","GPSC32_reference_00786","GPSC34_reference_00743","GPSC37_reference_00728","GPSC3_reference_00719","GPSC4_reference_00679","GPSC5_reference_00773","GPSC8_reference_00787","JYGP01_00542","NC_017592_00726"
"apt","","Adenine phosphoribosyltransferase","14","14","1","1","2902","","","","512","512","512","GPSC15_reference_01382","GPSC17_reference_01460","GPSC22_reference_01426","GPSC25_reference_01554","GPSC26_reference_01533","GPSC32_reference_01568","GPSC34_reference_01483","GPSC37_reference_01418","GPSC3_reference_01526","GPSC4_reference_01457","GPSC5_reference_01538","GPSC8_reference_01542","JYGP01_01278","NC_017592_01441"
"gpsA","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","14","14","1","1","596","","","","1016","1016","1016","GPSC15_reference_01871","GPSC17_reference_01955","GPSC22_reference_01928","GPSC25_reference_02027","GPSC26_reference_02044","GPSC32_reference_02033","GPSC34_reference_01965","GPSC37_reference_01921","GPSC3_reference_02039","GPSC4_reference_01966","GPSC5_reference_02053","GPSC8_reference_02100","JYGP01_00162","NC_017592_01967"
"prfA","","Peptide chain release factor 1","14","14","1","1","4655","","","","1079","1079","1079","GPSC15_reference_00950","GPSC17_reference_00966","GPSC22_reference_00931","GPSC25_reference_01068","GPSC26_reference_00995","GPSC32_reference_01017","GPSC34_reference_00970","GPSC37_reference_00959","GPSC3_reference_01121","GPSC4_reference_00906","GPSC5_reference_00995","GPSC8_reference_01015","JYGP01_00879","NC_017592_00957"
"sodA","","Superoxide dismutase [Mn]","14","14","1","1","81","","","","605","605","605","GPSC15_reference_00689","GPSC17_reference_00722","GPSC22_reference_00689","GPSC25_reference_00825","GPSC26_reference_00711","GPSC32_reference_00771","GPSC34_reference_00729","GPSC37_reference_00713","GPSC3_reference_00703","GPSC4_reference_00664","GPSC5_reference_00759","GPSC8_reference_00773","JYGP01_00524","NC_017592_00712"
"pyrG","","CTP synthase","14","14","1","1","1314","","","","1607","1607","1607","GPSC15_reference_00458","GPSC17_reference_00492","GPSC22_reference_00457","GPSC25_reference_00590","GPSC26_reference_00457","GPSC32_reference_00536","GPSC34_reference_00501","GPSC37_reference_00477","GPSC3_reference_00470","GPSC4_reference_00433","GPSC5_reference_00526","GPSC8_reference_00533","JYGP01_01863","NC_017592_00486"
"parE","","DNA topoisomerase 4 subunit B","14","14","1","1","169","","","","1943","1943","1943","GPSC15_reference_00786","GPSC17_reference_00797","GPSC22_reference_00766","GPSC25_reference_00902","GPSC26_reference_00790","GPSC32_reference_00846","GPSC34_reference_00802","GPSC37_reference_00796","GPSC3_reference_00780","GPSC4_reference_00745","GPSC5_reference_00838","GPSC8_reference_00848","JYGP01_00601","NC_017592_00790"
"potB","","Spermidine/putrescine transport system permease protein PotB","14","14","1","1","3053","","","","806","806","806","GPSC15_reference_01223","GPSC17_reference_01295","GPSC22_reference_01262","GPSC25_reference_01391","GPSC26_reference_01349","GPSC32_reference_01394","GPSC34_reference_01259","GPSC37_reference_01253","GPSC3_reference_01352","GPSC4_reference_01180","GPSC5_reference_01313","GPSC8_reference_01360","JYGP01_00480","NC_017592_01265"
"adcR","","Transcriptional regulator AdcR","14","14","1","1","3515","","","","440","440","440","GPSC15_reference_01951","GPSC17_reference_02035","GPSC22_reference_02001","GPSC25_reference_02123","GPSC26_reference_02126","GPSC32_reference_00033","GPSC34_reference_02045","GPSC37_reference_02010","GPSC3_reference_02121","GPSC4_reference_02044","GPSC5_reference_02134","GPSC8_reference_02196","JYGP01_01625","NC_017592_02041"
"group_4621","","hypothetical protein","14","14","1","1","3994","","","","1337","1337","1337","GPSC15_reference_00244","GPSC17_reference_00228","GPSC22_reference_00242","GPSC25_reference_00357","GPSC26_reference_00231","GPSC32_reference_00316","GPSC34_reference_00286","GPSC37_reference_00266","GPSC3_reference_00266","GPSC4_reference_00215","GPSC5_reference_00312","GPSC8_reference_00287","JYGP01_01508","NC_017592_00276"
"trmL","","tRNA (cytidine(34)-2'-O)-methyltransferase","14","14","1","1","261","","","","503","503","503","GPSC15_reference_00452","GPSC17_reference_00486","GPSC22_reference_00451","GPSC25_reference_00584","GPSC26_reference_00451","GPSC32_reference_00531","GPSC34_reference_00495","GPSC37_reference_00471","GPSC3_reference_00464","GPSC4_reference_00427","GPSC5_reference_00520","GPSC8_reference_00527","JYGP01_01451","NC_017592_00480"
"graR","","Response regulator protein GraR","14","14","1","1","1886","","","","677","677","677","GPSC15_reference_01433","GPSC17_reference_01503","GPSC22_reference_01462","GPSC25_reference_01592","GPSC26_reference_01569","GPSC32_reference_01603","GPSC34_reference_01520","GPSC37_reference_01467","GPSC3_reference_01564","GPSC4_reference_01495","GPSC5_reference_01588","GPSC8_reference_01596","JYGP01_00400","NC_017592_01491"
"group_4624","","hypothetical protein","14","14","1","1","1694","","","","986","986","986","GPSC15_reference_00112","GPSC17_reference_00094","GPSC22_reference_00097","GPSC25_reference_00201","GPSC26_reference_00085","GPSC32_reference_00183","GPSC34_reference_00141","GPSC37_reference_00125","GPSC3_reference_00127","GPSC4_reference_00092","GPSC5_reference_00164","GPSC8_reference_00147","JYGP01_01607","NC_017592_00135"
"group_4625","","hypothetical protein","14","14","1","1","3072","","","","278","278","278","GPSC15_reference_01240","GPSC17_reference_01311","GPSC22_reference_01280","GPSC25_reference_01407","GPSC26_reference_01365","GPSC32_reference_01411","GPSC34_reference_01274","GPSC37_reference_01269","GPSC3_reference_01368","GPSC4_reference_01196","GPSC5_reference_01329","GPSC8_reference_01377","JYGP01_00465","NC_017592_01281"
"adh_2","","Alcohol dehydrogenase","14","14","1","1","1191","","","","1058","1058","1058","GPSC15_reference_01824","GPSC17_reference_01911","GPSC22_reference_01883","GPSC25_reference_01981","GPSC26_reference_01993","GPSC32_reference_01989","GPSC34_reference_01904","GPSC37_reference_02143","GPSC3_reference_01985","GPSC4_reference_01919","GPSC5_reference_01972","GPSC8_reference_02049","JYGP01_00203","NC_017592_01916"
"lnpD","","UDP-glucose 4-epimerase","14","14","1","1","1841","","","","1019","1019","1019","GPSC15_reference_01406","GPSC17_reference_01485","GPSC22_reference_01449","GPSC25_reference_01578","GPSC26_reference_01557","GPSC32_reference_01590","GPSC34_reference_01507","GPSC37_reference_01444","GPSC3_reference_01552","GPSC4_reference_01482","GPSC5_reference_01564","GPSC8_reference_01569","JYGP01_00417","NC_017592_01465"
