"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR133985","ERR181435","ERR229952","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1173445","SRR1173640","SRR1175079","SRR1180462","SRR671749","SRR998654"
"parE1","","Toxin ParE1","14","14","1","1","3966","","","","296","296","296","ERR133985_02064","ERR181435_02070","ERR229952_02076","ERR234202_02067","H37Rv_02064","NC_019950_02038","SRR1019139_02064","SRR1163294_02067","SRR1173445_02064","SRR1173640_02067","SRR1175079_02064","SRR1180462_02065","SRR671749_02061","SRR998654_02064"
"kstR2_1","","HTH-type transcriptional repressor KstR2","14","14","1","1","268","","","","644","644","644","ERR133985_00174","ERR181435_00175","ERR229952_00175","ERR234202_00175","H37Rv_00173","NC_019950_00176","SRR1019139_00178","SRR1163294_00175","SRR1173445_00176","SRR1173640_00176","SRR1175079_00175","SRR1180462_00176","SRR671749_00172","SRR998654_00174"
"group_2282","","hypothetical protein","14","14","1","1","1259","","","","473","473","473","ERR133985_01123","ERR181435_01126","ERR229952_01131","ERR234202_01131","H37Rv_01123","NC_019950_01102","SRR1019139_01127","SRR1163294_01123","SRR1173445_01124","SRR1173640_01126","SRR1175079_01122","SRR1180462_01128","SRR671749_01120","SRR998654_01121"
"rpsB","","30S ribosomal protein S2","14","14","1","1","2917","","","","863","863","863","ERR133985_03029","ERR181435_03039","ERR229952_03046","ERR234202_03035","H37Rv_03033","NC_019950_03004","SRR1019139_03031","SRR1163294_03037","SRR1173445_03029","SRR1173640_03027","SRR1175079_03029","SRR1180462_03034","SRR671749_03026","SRR998654_03031"
"nuoH","","NADH-quinone oxidoreductase subunit H","14","14","1","1","2627","","","","1232","1232","1232","ERR133985_03307","ERR181435_03315","ERR229952_03322","ERR234202_03310","H37Rv_03310","NC_019950_03284","SRR1019139_03309","SRR1163294_03315","SRR1173445_03305","SRR1173640_03304","SRR1175079_03304","SRR1180462_03313","SRR671749_03303","SRR998654_03307"
"sir","","Sulfite reductase [ferredoxin]","14","14","1","1","3469","","","","1667","1667","1667","ERR133985_02525","ERR181435_02528","ERR229952_02536","ERR234202_02527","H37Rv_02526","NC_019950_02511","SRR1019139_02524","SRR1163294_02527","SRR1173445_02523","SRR1173640_02525","SRR1175079_02526","SRR1180462_02527","SRR671749_02521","SRR998654_02524"
"group_2286","","putative cutinase","14","14","1","1","3929","","","","653","653","653","ERR133985_02094","ERR181435_02100","ERR229952_02106","ERR234202_02097","H37Rv_02094","NC_019950_02074","SRR1019139_02095","SRR1163294_02098","SRR1173445_02094","SRR1173640_02097","SRR1175079_02094","SRR1180462_02096","SRR671749_02091","SRR998654_02094"
"relJ","","Antitoxin RelJ","14","14","1","1","2382","","","","275","275","275","ERR133985_03532","ERR181435_03537","ERR229952_03549","ERR234202_03533","H37Rv_03534","NC_019950_03519","SRR1019139_03535","SRR1163294_03540","SRR1173445_03530","SRR1173640_03528","SRR1175079_03528","SRR1180462_03537","SRR671749_03527","SRR998654_03533"
"group_2288","","hypothetical protein","14","14","1","1","2368","","","","149","149","149","ERR133985_03545","ERR181435_03550","ERR229952_03562","ERR234202_03546","H37Rv_03547","NC_019950_03533","SRR1019139_03548","SRR1163294_03553","SRR1173445_03543","SRR1173640_03541","SRR1175079_03541","SRR1180462_03550","SRR671749_03540","SRR998654_03547"
"group_2289","","hypothetical protein","14","14","1","1","3980","","","","218","218","218","ERR133985_02051","ERR181435_02057","ERR229952_02063","ERR234202_02054","H37Rv_02051","NC_019950_02026","SRR1019139_02051","SRR1163294_02054","SRR1173445_02051","SRR1173640_02054","SRR1175079_02051","SRR1180462_02052","SRR671749_02048","SRR998654_02051"
"whiB5","","Transcriptional regulator WhiB5","14","14","1","1","114","","","","245","419","406","ERR133985_00030","ERR181435_00028","ERR229952_00029","ERR234202_00029","H37Rv_00029","NC_019950_00030","SRR1019139_00029","SRR1163294_00028","SRR1173445_00029","SRR1173640_00029","SRR1175079_00028","SRR1180462_00028","SRR671749_00028","SRR998654_00029"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","14","14","1","1","3097","","","","629","629","629","ERR133985_02884","ERR181435_02894","ERR229952_02900","ERR234202_02887","H37Rv_02887","NC_019950_02858","SRR1019139_02884","SRR1163294_02890","SRR1173445_02882","SRR1173640_02882","SRR1175079_02884","SRR1180462_02887","SRR671749_02881","SRR998654_02884"
"caiA_3","","Crotonobetainyl-CoA reductase","14","14","1","1","2639","","","","1205","1205","1205","ERR133985_03295","ERR181435_03303","ERR229952_03310","ERR234202_03298","H37Rv_03298","NC_019950_03272","SRR1019139_03297","SRR1163294_03303","SRR1173445_03293","SRR1173640_03292","SRR1175079_03292","SRR1180462_03301","SRR671749_03291","SRR998654_03295"
"group_2292","","putative protein","14","14","1","1","3798","","","","734","734","734","ERR133985_02206","ERR181435_02211","ERR229952_02221","ERR234202_02211","H37Rv_02206","NC_019950_02197","SRR1019139_02208","SRR1163294_02212","SRR1173445_02206","SRR1173640_02210","SRR1175079_02209","SRR1180462_02210","SRR671749_02204","SRR998654_02207"
"group_2293","","hypothetical protein","14","14","1","1","3735","","","","287","287","287","ERR133985_02268","ERR181435_02271","ERR229952_02281","ERR234202_02272","H37Rv_02267","NC_019950_02254","SRR1019139_02269","SRR1163294_02272","SRR1173445_02268","SRR1173640_02271","SRR1175079_02270","SRR1180462_02272","SRR671749_02266","SRR998654_02267"
"group_2294","","N-acetylmuramoyl-L-alanine amidase","14","14","1","1","1995","","","","725","725","725","ERR133985_03902","ERR181435_03907","ERR229952_03918","ERR234202_03902","H37Rv_03904","NC_019950_03880","SRR1019139_03902","SRR1163294_03907","SRR1173445_03899","SRR1173640_03897","SRR1175079_03897","SRR1180462_03905","SRR671749_03897","SRR998654_03906"
"pimA","","Phosphatidyl-myo-inositol mannosyltransferase","14","14","1","1","3231","","","","1136","1136","1136","ERR133985_02748","ERR181435_02756","ERR229952_02764","ERR234202_02751","H37Rv_02751","NC_019950_02740","SRR1019139_02749","SRR1163294_02753","SRR1173445_02746","SRR1173640_02746","SRR1175079_02748","SRR1180462_02751","SRR671749_02744","SRR998654_02748"
"def","","Peptide deformylase","14","14","1","1","563","","","","593","593","593","ERR133985_00451","ERR181435_00451","ERR229952_00454","ERR234202_00457","H37Rv_00452","NC_019950_00446","SRR1019139_00454","SRR1163294_00451","SRR1173445_00455","SRR1173640_00451","SRR1175079_00451","SRR1180462_00453","SRR671749_00448","SRR998654_00449"
"atpF","","ATP synthase subunit b","14","14","1","1","1528","","","","515","515","515","ERR133985_01381","ERR181435_01383","ERR229952_01390","ERR234202_01389","H37Rv_01382","NC_019950_01360","SRR1019139_01385","SRR1163294_01380","SRR1173445_01382","SRR1173640_01384","SRR1175079_01382","SRR1180462_01385","SRR671749_01379","SRR998654_01380"
"group_2298","","hypothetical protein","14","14","1","1","3268","","","","1397","1397","1397","ERR133985_02714","ERR181435_02722","ERR229952_02730","ERR234202_02717","H37Rv_02717","NC_019950_02705","SRR1019139_02714","SRR1163294_02719","SRR1173445_02712","SRR1173640_02712","SRR1175079_02713","SRR1180462_02717","SRR671749_02710","SRR998654_02714"
"group_2299","","Putative toxinA/RVBD_3098A","14","14","1","1","2683","","","","317","317","317","ERR133985_03251","ERR181435_03259","ERR229952_03266","ERR234202_03254","H37Rv_03254","NC_019950_03242","SRR1019139_03253","SRR1163294_03259","SRR1173445_03249","SRR1173640_03248","SRR1175079_03248","SRR1180462_03257","SRR671749_03247","SRR998654_03251"
"group_2300","","hypothetical protein","14","14","1","1","3105","","","","206","206","206","ERR133985_02876","ERR181435_02886","ERR229952_02892","ERR234202_02879","H37Rv_02879","NC_019950_02850","SRR1019139_02876","SRR1163294_02882","SRR1173445_02874","SRR1173640_02874","SRR1175079_02876","SRR1180462_02879","SRR671749_02873","SRR998654_02876"
"coaD","","Phosphopantetheine adenylyltransferase","14","14","1","1","2835","","","","485","485","485","ERR133985_03107","ERR181435_03115","ERR229952_03122","ERR234202_03111","H37Rv_03110","NC_019950_03081","SRR1019139_03108","SRR1163294_03114","SRR1173445_03106","SRR1173640_03105","SRR1175079_03105","SRR1180462_03112","SRR671749_03103","SRR998654_03108"
"group_2302","","putative protein","14","14","1","1","141","","","","413","413","413","ERR133985_00057","ERR181435_00056","ERR229952_00058","ERR234202_00057","H37Rv_00056","NC_019950_00057","SRR1019139_00057","SRR1163294_00056","SRR1173445_00057","SRR1173640_00056","SRR1175079_00055","SRR1180462_00055","SRR671749_00055","SRR998654_00056"
"group_2303","","hypothetical protein","14","14","1","1","558","","","","275","275","275","ERR133985_00446","ERR181435_00446","ERR229952_00449","ERR234202_00452","H37Rv_00447","NC_019950_00441","SRR1019139_00449","SRR1163294_00446","SRR1173445_00450","SRR1173640_00446","SRR1175079_00446","SRR1180462_00448","SRR671749_00443","SRR998654_00444"
"group_2304","","hypothetical protein","14","14","1","1","3569","","","","209","209","209","ERR133985_02427","ERR181435_02429","ERR229952_02438","ERR234202_02430","H37Rv_02428","NC_019950_02415","SRR1019139_02426","SRR1163294_02429","SRR1173445_02426","SRR1173640_02428","SRR1175079_02428","SRR1180462_02429","SRR671749_02424","SRR998654_02426"
"tgs2","","putative diacyglycerol O-acyltransferase tgs2","14","14","1","1","1977","","","","1352","1352","1352","ERR133985_03922","ERR181435_03926","ERR229952_03937","ERR234202_03922","H37Rv_03924","NC_019950_03899","SRR1019139_03921","SRR1163294_03926","SRR1173445_03918","SRR1173640_03916","SRR1175079_03916","SRR1180462_03924","SRR671749_03917","SRR998654_03925"
"group_2306","","Antitoxin VapB40","14","14","1","1","3249","","","","212","212","212","ERR133985_02732","ERR181435_02740","ERR229952_02748","ERR234202_02735","H37Rv_02735","NC_019950_02724","SRR1019139_02732","SRR1163294_02737","SRR1173445_02730","SRR1173640_02730","SRR1175079_02731","SRR1180462_02735","SRR671749_02728","SRR998654_02732"
"group_2307","","hypothetical protein","14","14","1","1","3437","","","","272","272","272","ERR133985_02555","ERR181435_02559","ERR229952_02566","ERR234202_02557","H37Rv_02557","NC_019950_02543","SRR1019139_02554","SRR1163294_02557","SRR1173445_02553","SRR1173640_02555","SRR1175079_02556","SRR1180462_02557","SRR671749_02551","SRR998654_02554"
"group_2308","","Acyl-CoA dehydrogenase FadE27","14","14","1","1","2149","","","","956","956","956","ERR133985_03749","ERR181435_03753","ERR229952_03765","ERR234202_03748","H37Rv_03751","NC_019950_03729","SRR1019139_03748","SRR1163294_03753","SRR1173445_03744","SRR1173640_03744","SRR1175079_03744","SRR1180462_03751","SRR671749_03744","SRR998654_03751"
"caiD_2","","Carnitinyl-CoA dehydratase","14","14","1","1","784","","","","695","695","695","ERR133985_00667","ERR181435_00667","ERR229952_00669","ERR234202_00671","H37Rv_00668","NC_019950_00655","SRR1019139_00669","SRR1163294_00666","SRR1173445_00669","SRR1173640_00665","SRR1175079_00666","SRR1180462_00668","SRR671749_00664","SRR998654_00664"
"group_231","","hypothetical protein","14","14","1","1","118","","","","1346","1433","1395","ERR133985_00034","ERR181435_00032","ERR229952_00033","ERR234202_00033","H37Rv_00033","NC_019950_00034","SRR1019139_00033","SRR1163294_00032","SRR1173445_00033","SRR1173640_00033","SRR1175079_00032","SRR1180462_00032","SRR671749_00032","SRR998654_00033"
"group_2310","","hypothetical protein","14","14","1","1","1775","","","","734","734","734","ERR133985_04120","ERR181435_04126","ERR229952_04134","ERR234202_04120","H37Rv_04121","NC_019950_04097","SRR1019139_04115","SRR1163294_04120","SRR1173445_04114","SRR1173640_04112","SRR1175079_04112","SRR1180462_04120","SRR671749_04116","SRR998654_04121"
"group_2311","","hypothetical protein","14","14","1","1","1848","","","","656","656","656","ERR133985_04050","ERR181435_04055","ERR229952_04065","ERR234202_04049","H37Rv_04052","NC_019950_04028","SRR1019139_04047","SRR1163294_04052","SRR1173445_04046","SRR1173640_04043","SRR1175079_04043","SRR1180462_04051","SRR671749_04046","SRR998654_04052"
"rpmB_2","","50S ribosomal protein L28","14","14","1","1","2825","","","","194","194","194","ERR133985_03118","ERR181435_03125","ERR229952_03132","ERR234202_03121","H37Rv_03121","NC_019950_03091","SRR1019139_03118","SRR1163294_03124","SRR1173445_03116","SRR1173640_03115","SRR1175079_03115","SRR1180462_03122","SRR671749_03114","SRR998654_03118"
"group_2313","","MPT51/MPB51 antigen","14","14","1","1","1902","","","","899","899","899","ERR133985_03997","ERR181435_04001","ERR229952_04013","ERR234202_03997","H37Rv_03999","NC_019950_03975","SRR1019139_03995","SRR1163294_04000","SRR1173445_03993","SRR1173640_03991","SRR1175079_03991","SRR1180462_03998","SRR671749_03993","SRR998654_04000"
"group_2314","","hypothetical protein","14","14","1","1","4501","","","","560","560","560","ERR133985_01563","ERR181435_01563","ERR229952_01570","ERR234202_01569","H37Rv_01562","NC_019950_01541","SRR1019139_01564","SRR1163294_01560","SRR1173445_01562","SRR1173640_01564","SRR1175079_01561","SRR1180462_01566","SRR671749_01559","SRR998654_01562"
"cysH","","putative phosphoadenosine phosphosulfate reductase","14","14","1","1","3468","","","","764","764","764","ERR133985_02526","ERR181435_02529","ERR229952_02537","ERR234202_02528","H37Rv_02527","NC_019950_02512","SRR1019139_02525","SRR1163294_02528","SRR1173445_02524","SRR1173640_02526","SRR1175079_02527","SRR1180462_02528","SRR671749_02522","SRR998654_02525"
"group_2316","","putative HTH-type transcriptional regulator","14","14","1","1","2687","","","","476","476","476","ERR133985_03247","ERR181435_03255","ERR229952_03262","ERR234202_03250","H37Rv_03250","NC_019950_03238","SRR1019139_03249","SRR1163294_03255","SRR1173445_03245","SRR1173640_03244","SRR1175079_03244","SRR1180462_03253","SRR671749_03243","SRR998654_03247"
"group_2317","","hypothetical protein","14","14","1","1","1345","","","","449","449","449","ERR133985_01206","ERR181435_01209","ERR229952_01214","ERR234202_01215","H37Rv_01206","NC_019950_01184","SRR1019139_01210","SRR1163294_01206","SRR1173445_01207","SRR1173640_01210","SRR1175079_01206","SRR1180462_01211","SRR671749_01203","SRR998654_01205"
"group_2318","","Putative pterin-4-alpha-carbinolamine dehydratase","14","14","1","1","2671","","","","395","395","395","ERR133985_03264","ERR181435_03272","ERR229952_03279","ERR234202_03267","H37Rv_03267","NC_019950_03255","SRR1019139_03266","SRR1163294_03272","SRR1173445_03262","SRR1173640_03261","SRR1175079_03261","SRR1180462_03270","SRR671749_03260","SRR998654_03264"
"cmtR","","HTH-type transcriptional regulator CmtR","14","14","1","1","3915","","","","356","356","356","ERR133985_02108","ERR181435_02114","ERR229952_02120","ERR234202_02111","H37Rv_02108","NC_019950_02085","SRR1019139_02109","SRR1163294_02112","SRR1173445_02108","SRR1173640_02111","SRR1175079_02108","SRR1180462_02110","SRR671749_02106","SRR998654_02108"
"menE_1","","2-succinylbenzoate--CoA ligase","14","14","1","1","127","","","","887","1688","1630","ERR133985_00043","ERR181435_00042","ERR229952_00044","ERR234202_00043","H37Rv_00042","NC_019950_00043","SRR1019139_00043","SRR1163294_00042","SRR1173445_00043","SRR1173640_00042","SRR1175079_00041","SRR1180462_00041","SRR671749_00041","SRR998654_00042"
"gmk","","Guanylate kinase","14","14","1","1","4592","","","","626","626","626","ERR133985_01471","ERR181435_01472","ERR229952_01479","ERR234202_01478","H37Rv_01471","NC_019950_01449","SRR1019139_01474","SRR1163294_01469","SRR1173445_01471","SRR1173640_01473","SRR1175079_01470","SRR1180462_01473","SRR671749_01468","SRR998654_01470"
"parE2","","Toxin ParE2","14","14","1","1","3740","","","","317","317","317","ERR133985_02262","ERR181435_02266","ERR229952_02276","ERR234202_02266","H37Rv_02262","NC_019950_02249","SRR1019139_02263","SRR1163294_02267","SRR1173445_02262","SRR1173640_02266","SRR1175079_02265","SRR1180462_02266","SRR671749_02260","SRR998654_02262"
"tuf","","Elongation factor Tu","14","14","1","1","842","","","","1190","1190","1190","ERR133985_00727","ERR181435_00726","ERR229952_00728","ERR234202_00730","H37Rv_00727","NC_019950_00714","SRR1019139_00729","SRR1163294_00725","SRR1173445_00728","SRR1173640_00726","SRR1175079_00725","SRR1180462_00727","SRR671749_00723","SRR998654_00724"
"group_2323","","hypothetical protein","14","14","1","1","849","","","","89","89","89","ERR133985_00734","ERR181435_00733","ERR229952_00735","ERR234202_00737","H37Rv_00734","NC_019950_00721","SRR1019139_00736","SRR1163294_00732","SRR1173445_00735","SRR1173640_00733","SRR1175079_00732","SRR1180462_00734","SRR671749_00730","SRR998654_00731"
"rpsC","","30S ribosomal protein S3","14","14","1","1","866","","","","824","824","824","ERR133985_00749","ERR181435_00748","ERR229952_00751","ERR234202_00753","H37Rv_00749","NC_019950_00741","SRR1019139_00752","SRR1163294_00748","SRR1173445_00750","SRR1173640_00749","SRR1175079_00747","SRR1180462_00750","SRR671749_00745","SRR998654_00747"
"espF","","ESX-1 secretion-associated protein EspF","14","14","1","1","1833","","","","311","311","311","ERR133985_04065","ERR181435_04070","ERR229952_04080","ERR234202_04064","H37Rv_04067","NC_019950_04043","SRR1019139_04062","SRR1163294_04067","SRR1173445_04061","SRR1173640_04058","SRR1175079_04058","SRR1180462_04066","SRR671749_04061","SRR998654_04067"
"group_2326","","hypothetical protein","14","14","1","1","3974","","","","215","215","215","ERR133985_02057","ERR181435_02063","ERR229952_02069","ERR234202_02060","H37Rv_02057","NC_019950_02031","SRR1019139_02057","SRR1163294_02060","SRR1173445_02057","SRR1173640_02060","SRR1175079_02057","SRR1180462_02058","SRR671749_02054","SRR998654_02057"
"pknI","","Serine/threonine-protein kinase PknI","14","14","1","1","2891","","","","1757","1757","1757","ERR133985_03054","ERR181435_03064","ERR229952_03071","ERR234202_03060","H37Rv_03058","NC_019950_03029","SRR1019139_03056","SRR1163294_03062","SRR1173445_03054","SRR1173640_03052","SRR1175079_03054","SRR1180462_03059","SRR671749_03051","SRR998654_03057"
"group_2328","","hypothetical protein","14","14","1","1","1052","","","","275","275","275","ERR133985_00930","ERR181435_00930","ERR229952_00936","ERR234202_00935","H37Rv_00930","NC_019950_00907","SRR1019139_00932","SRR1163294_00927","SRR1173445_00930","SRR1173640_00930","SRR1175079_00927","SRR1180462_00932","SRR671749_00926","SRR998654_00927"
"atpH","","ATP synthase subunit c","14","14","1","1","1527","","","","245","245","245","ERR133985_01380","ERR181435_01382","ERR229952_01389","ERR234202_01388","H37Rv_01381","NC_019950_01359","SRR1019139_01384","SRR1163294_01379","SRR1173445_01381","SRR1173640_01383","SRR1175079_01381","SRR1180462_01384","SRR671749_01378","SRR998654_01379"
"group_2330","","putative triacylglyceride transporter","14","14","1","1","4571","","","","1556","1556","1556","ERR133985_01493","ERR181435_01493","ERR229952_01500","ERR234202_01499","H37Rv_01492","NC_019950_01470","SRR1019139_01495","SRR1163294_01490","SRR1173445_01492","SRR1173640_01494","SRR1175079_01491","SRR1180462_01494","SRR671749_01489","SRR998654_01492"
"group_2331","","hypothetical protein","14","14","1","1","589","","","","230","230","230","ERR133985_00477","ERR181435_00477","ERR229952_00480","ERR234202_00483","H37Rv_00478","NC_019950_00472","SRR1019139_00480","SRR1163294_00477","SRR1173445_00481","SRR1173640_00477","SRR1175079_00477","SRR1180462_00479","SRR671749_00474","SRR998654_00475"
"group_2332","","hypothetical protein","14","14","1","1","3871","","","","758","758","758","ERR133985_02148","ERR181435_02155","ERR229952_02160","ERR234202_02152","H37Rv_02148","NC_019950_02127","SRR1019139_02149","SRR1163294_02153","SRR1173445_02148","SRR1173640_02153","SRR1175079_02151","SRR1180462_02151","SRR671749_02146","SRR998654_02148"
"nudL","","putative Nudix hydrolase NudL","14","14","1","1","2043","","","","821","821","821","ERR133985_03853","ERR181435_03858","ERR229952_03869","ERR234202_03853","H37Rv_03855","NC_019950_03832","SRR1019139_03853","SRR1163294_03858","SRR1173445_03850","SRR1173640_03848","SRR1175079_03848","SRR1180462_03856","SRR671749_03848","SRR998654_03856"
"group_2334","","hypothetical protein","14","14","1","1","3751","","","","158","158","158","ERR133985_02250","ERR181435_02254","ERR229952_02264","ERR234202_02254","H37Rv_02250","NC_019950_02237","SRR1019139_02251","SRR1163294_02255","SRR1173445_02250","SRR1173640_02254","SRR1175079_02253","SRR1180462_02254","SRR671749_02248","SRR998654_02250"
"group_2335","","hypothetical protein","14","14","1","1","1005","","","","413","413","413","ERR133985_00887","ERR181435_00887","ERR229952_00892","ERR234202_00891","H37Rv_00887","NC_019950_00864","SRR1019139_00889","SRR1163294_00884","SRR1173445_00887","SRR1173640_00887","SRR1175079_00884","SRR1180462_00888","SRR671749_00883","SRR998654_00884"
"group_2336","","hypothetical protein","14","14","1","1","4124","","","","944","944","944","ERR133985_01914","ERR181435_01920","ERR229952_01924","ERR234202_01918","H37Rv_01914","NC_019950_01894","SRR1019139_01915","SRR1163294_01915","SRR1173445_01914","SRR1173640_01918","SRR1175079_01916","SRR1180462_01916","SRR671749_01911","SRR998654_01915"
"caiD_1","","Carnitinyl-CoA dehydratase","14","14","1","1","340","","","","788","788","788","ERR133985_00241","ERR181435_00242","ERR229952_00243","ERR234202_00242","H37Rv_00240","NC_019950_00242","SRR1019139_00244","SRR1163294_00242","SRR1173445_00245","SRR1173640_00243","SRR1175079_00242","SRR1180462_00244","SRR671749_00239","SRR998654_00240"
"group_2338","","putative oxidoreductase","14","14","1","1","3828","","","","749","749","749","ERR133985_02188","ERR181435_02195","ERR229952_02203","ERR234202_02193","H37Rv_02188","NC_019950_02166","SRR1019139_02190","SRR1163294_02193","SRR1173445_02186","SRR1173640_02192","SRR1175079_02191","SRR1180462_02192","SRR671749_02186","SRR998654_02189"
"rpmI","","50S ribosomal protein L35","14","14","1","1","4318","","","","194","194","194","ERR133985_01735","ERR181435_01736","ERR229952_01741","ERR234202_01739","H37Rv_01734","NC_019950_01706","SRR1019139_01734","SRR1163294_01733","SRR1173445_01734","SRR1173640_01738","SRR1175079_01734","SRR1180462_01736","SRR671749_01731","SRR998654_01734"
"inhA_1","","Isonitrile hydratase","14","14","1","1","144","","","","398","638","620","ERR133985_00060","ERR181435_00059","ERR229952_00061","ERR234202_00060","H37Rv_00059","NC_019950_00060","SRR1019139_00060","SRR1163294_00059","SRR1173445_00060","SRR1173640_00059","SRR1175079_00058","SRR1180462_00058","SRR671749_00058","SRR998654_00059"
"thiE","","Thiamine-phosphate synthase","14","14","1","1","548","","","","668","668","668","ERR133985_00436","ERR181435_00436","ERR229952_00439","ERR234202_00442","H37Rv_00437","NC_019950_00431","SRR1019139_00439","SRR1163294_00436","SRR1173445_00440","SRR1173640_00436","SRR1175079_00436","SRR1180462_00438","SRR671749_00433","SRR998654_00434"
"rimI","","N-alpha-acetyltransferase RimI","14","14","1","1","2309","","","","476","476","476","ERR133985_03600","ERR181435_03606","ERR229952_03616","ERR234202_03600","H37Rv_03603","NC_019950_03581","SRR1019139_03602","SRR1163294_03607","SRR1173445_03598","SRR1173640_03596","SRR1175079_03596","SRR1180462_03604","SRR671749_03596","SRR998654_03602"
"group_2342","","PE-PGRS family protein PE25","14","14","1","1","4133","","","","299","299","299","ERR133985_01906","ERR181435_01912","ERR229952_01915","ERR234202_01910","H37Rv_01906","NC_019950_01886","SRR1019139_01907","SRR1163294_01907","SRR1173445_01906","SRR1173640_01910","SRR1175079_01908","SRR1180462_01908","SRR671749_01903","SRR998654_01907"
"group_2343","","hypothetical protein","14","14","1","1","4062","","","","443","443","443","ERR133985_01975","ERR181435_01981","ERR229952_01986","ERR234202_01979","H37Rv_01975","NC_019950_01954","SRR1019139_01976","SRR1163294_01978","SRR1173445_01974","SRR1173640_01979","SRR1175079_01976","SRR1180462_01977","SRR671749_01972","SRR998654_01975"
"group_2344","","hypothetical protein","14","14","1","1","2218","","","","764","764","764","ERR133985_03683","ERR181435_03687","ERR229952_03698","ERR234202_03681","H37Rv_03686","NC_019950_03664","SRR1019139_03683","SRR1163294_03688","SRR1173445_03679","SRR1173640_03678","SRR1175079_03678","SRR1180462_03685","SRR671749_03678","SRR998654_03684"
"group_2345","","hypothetical protein","14","14","1","1","3746","","","","308","308","308","ERR133985_02255","ERR181435_02259","ERR229952_02269","ERR234202_02259","H37Rv_02255","NC_019950_02242","SRR1019139_02256","SRR1163294_02260","SRR1173445_02255","SRR1173640_02259","SRR1175079_02258","SRR1180462_02259","SRR671749_02253","SRR998654_02255"
"nrdH","","Glutaredoxin-like protein NrdH","14","14","1","1","2732","","","","239","239","239","ERR133985_03203","ERR181435_03210","ERR229952_03218","ERR234202_03206","H37Rv_03206","NC_019950_03191","SRR1019139_03204","SRR1163294_03210","SRR1173445_03201","SRR1173640_03200","SRR1175079_03200","SRR1180462_03208","SRR671749_03199","SRR998654_03203"
"group_2347","","hypothetical protein","14","14","1","1","1329","","","","605","605","605","ERR133985_01192","ERR181435_01195","ERR229952_01200","ERR234202_01201","H37Rv_01192","NC_019950_01170","SRR1019139_01196","SRR1163294_01192","SRR1173445_01193","SRR1173640_01195","SRR1175079_01191","SRR1180462_01197","SRR671749_01189","SRR998654_01190"
"rdmC","","Aclacinomycin methylesterase RdmC","14","14","1","1","800","","","","905","905","905","ERR133985_00686","ERR181435_00686","ERR229952_00688","ERR234202_00690","H37Rv_00687","NC_019950_00674","SRR1019139_00688","SRR1163294_00685","SRR1173445_00688","SRR1173640_00684","SRR1175079_00685","SRR1180462_00687","SRR671749_00683","SRR998654_00683"
"group_2349","","Immunogenic protein MPT70","14","14","1","1","2932","","","","581","581","581","ERR133985_03014","ERR181435_03024","ERR229952_03031","ERR234202_03020","H37Rv_03018","NC_019950_02990","SRR1019139_03016","SRR1163294_03022","SRR1173445_03014","SRR1173640_03012","SRR1175079_03014","SRR1180462_03019","SRR671749_03011","SRR998654_03016"
"group_2350","","hypothetical protein","14","14","1","1","3221","","","","353","353","353","ERR133985_02757","ERR181435_02765","ERR229952_02773","ERR234202_02760","H37Rv_02760","NC_019950_02749","SRR1019139_02758","SRR1163294_02763","SRR1173445_02755","SRR1173640_02755","SRR1175079_02757","SRR1180462_02760","SRR671749_02753","SRR998654_02757"
"rnc","","Ribonuclease 3","14","14","1","1","2879","","","","722","722","722","ERR133985_03066","ERR181435_03076","ERR229952_03083","ERR234202_03072","H37Rv_03070","NC_019950_03041","SRR1019139_03068","SRR1163294_03074","SRR1173445_03066","SRR1173640_03065","SRR1175079_03066","SRR1180462_03071","SRR671749_03063","SRR998654_03069"
"group_2352","","putative L,D-transpeptidase 3","14","14","1","1","4547","","","","815","815","815","ERR133985_01516","ERR181435_01516","ERR229952_01523","ERR234202_01522","H37Rv_01515","NC_019950_01493","SRR1019139_01518","SRR1163294_01513","SRR1173445_01515","SRR1173640_01517","SRR1175079_01514","SRR1180462_01518","SRR671749_01512","SRR998654_01515"
"aroK","","Shikimate kinase","14","14","1","1","3311","","","","530","530","530","ERR133985_02675","ERR181435_02681","ERR229952_02690","ERR234202_02677","H37Rv_02677","NC_019950_02668","SRR1019139_02675","SRR1163294_02680","SRR1173445_02673","SRR1173640_02674","SRR1175079_02675","SRR1180462_02678","SRR671749_02671","SRR998654_02674"
"group_2354","","hypothetical protein","14","14","1","1","351","","","","689","689","689","ERR133985_00252","ERR181435_00253","ERR229952_00255","ERR234202_00253","H37Rv_00251","NC_019950_00253","SRR1019139_00255","SRR1163294_00253","SRR1173445_00256","SRR1173640_00254","SRR1175079_00253","SRR1180462_00255","SRR671749_00250","SRR998654_00252"
"serS","","Serine--tRNA ligase","14","14","1","1","1868","","","","1259","1259","1259","ERR133985_04029","ERR181435_04034","ERR229952_04045","ERR234202_04029","H37Rv_04031","NC_019950_04007","SRR1019139_04027","SRR1163294_04032","SRR1173445_04025","SRR1173640_04022","SRR1175079_04022","SRR1180462_04031","SRR671749_04025","SRR998654_04032"
