Sequence,Start,End,Primer
GPSC25,1583286,1585081,rev
GPSC25,1585081,1586851,rev
GPSC25,1586851,1588612,rev
GPSC25,1592283,1592302,rev
GPSC25,1596013,1597864,rev
GPSC25,1597864,1599690,rev
GPSC25,1599690,1601432,rev
GPSC25,1601432,1603244,rev
GPSC25,1603244,1605003,rev
GPSC25,1605003,1606740,rev
GPSC25,1610594,1612383,rev
GPSC25,1612383,1614157,rev
GPSC25,1614157,1615927,rev
GPSC25,1615927,1617752,rev
GPSC25,1617752,1619524,rev
GPSC25,1619524,1621323,rev
GPSC25,1621323,1623120,rev
GPSC25,1623120,1624963,rev
GPSC25,1628464,1630101,rev
GPSC25,1630101,1631830,rev
GPSC25,1631830,1633661,rev
GPSC25,1633661,1635459,rev
GPSC25,1635459,1637160,rev
GPSC25,1637160,1638996,rev
GPSC25,1638996,1640841,rev
GPSC25,1644056,1645850,rev
GPSC25,1645850,1647519,rev
GPSC25,1647519,1649290,rev
GPSC25,1649290,1651065,rev
GPSC25,1651065,1652868,rev
GPSC25,1652868,1654645,rev
GPSC25,1654645,1656426,rev
GPSC25,1656426,1658221,rev
GPSC25,1658221,1660059,rev
GPSC25,1663653,1665471,rev
GPSC25,1665471,1667232,rev
GPSC25,1667232,1668988,rev
GPSC25,1668988,1670504,rev
GPSC25,1674086,1675919,rev
GPSC25,1675919,1677763,rev
GPSC25,1681174,1682993,rev
GPSC25,1682993,1684758,rev
GPSC25,1684758,1686531,rev
GPSC25,1686531,1688263,rev
GPSC25,1688263,1690024,rev
GPSC25,1694483,1696272,rev
GPSC25,1696272,1698043,rev
GPSC25,1698043,1699891,rev
GPSC25,1699891,1701741,rev
GPSC25,1701741,1703561,rev
GPSC25,1703561,1705409,rev
GPSC25,1705409,1707334,rev
GPSC25,1707334,1709093,rev
GPSC25,1709093,1710906,rev
GPSC25,1710906,1712730,rev
GPSC25,1712730,1714397,rev
GPSC25,1714397,1716336,rev
GPSC25,1716336,1717970,rev
GPSC25,1717970,1718514,rev
GPSC25,1725218,1726921,rev
GPSC25,1726921,1728704,rev
GPSC25,1728704,1730488,rev
GPSC25,1730488,1731251,rev
GPSC25,1731251,1732927,rev
GPSC25,1732927,1734748,rev
GPSC25,1734748,1736548,rev
GPSC25,1736548,1738306,rev
GPSC25,1738306,1740057,rev
GPSC25,1740057,1741830,rev
GPSC25,1741830,1743645,rev
GPSC25,1743645,1745477,rev
GPSC25,1745477,1747188,rev
GPSC25,1747188,1748943,rev
GPSC25,1748943,1750606,rev
GPSC25,1750606,1752193,rev
GPSC25,1752193,1753970,rev
GPSC25,1753970,1755806,rev
GPSC25,1755806,1757615,rev
GPSC25,1757615,1759440,rev
GPSC25,1759440,1761103,rev
GPSC25,1761103,1762903,rev
GPSC25,1762903,1764712,rev
GPSC25,1764712,1766221,rev
GPSC25,1766221,1768106,rev
GPSC25,1772962,1774815,rev
GPSC25,1774815,1776610,rev
GPSC25,1776610,1778275,rev
GPSC25,1778275,1780067,rev
GPSC25,1780067,1781901,rev
GPSC25,1781901,1783690,rev
GPSC25,1783690,1785485,rev
GPSC25,1785485,1787227,rev
GPSC25,1787227,1788912,rev
GPSC25,1788912,1790676,rev
GPSC25,1790676,1792475,rev
GPSC25,1792475,1794261,rev
GPSC25,1794261,1796104,rev
GPSC25,1796104,1797888,rev
GPSC25,1797888,1799721,rev
GPSC25,1799721,1801472,rev
GPSC25,1806655,1808518,rev
GPSC25,1808518,1810295,rev
GPSC25,1810295,1811927,rev
GPSC25,1811927,1813735,rev
GPSC25,1813735,1815464,rev
GPSC25,1815464,1816908,rev
GPSC25,1816908,1818514,rev
GPSC25,1818514,1820345,rev
GPSC25,1820345,1822172,rev
GPSC25,1822172,1823970,rev
GPSC25,1826205,1827411,rev
GPSC25,1827411,1829586,rev
GPSC25,1829586,1831363,rev
GPSC25,1835073,1836940,rev
GPSC25,1836940,1838777,rev
GPSC25,1841008,1842824,rev
GPSC25,1842824,1844653,rev
GPSC25,1844653,1844919,rev
GPSC25,1855861,1857729,rev
GPSC25,1857729,1859474,rev
GPSC25,1859474,1861287,rev
GPSC25,1861287,1863068,rev
GPSC25,1863068,1864878,rev
GPSC25,1864878,1866668,rev
GPSC25,1866668,1868503,rev
GPSC25,1868503,1869926,rev
GPSC25,1869926,1871686,rev
GPSC25,1871686,1873505,rev
GPSC25,1873505,1875310,rev
GPSC25,1875310,1876905,rev
GPSC25,1876905,1878718,rev
GPSC25,1878718,1880477,rev
GPSC25,1880477,1882314,rev
GPSC25,1882314,1884034,rev
GPSC25,1884034,1885874,rev
GPSC25,1885874,1887688,rev
GPSC25,1887688,1889458,rev
GPSC25,1889458,1891224,rev
GPSC25,1891224,1892995,rev
GPSC25,1892995,1894754,rev
GPSC25,1894754,1896419,rev
GPSC25,1896419,1898202,rev
GPSC25,1898202,1899956,rev
GPSC25,1899956,1901734,rev
GPSC25,1901734,1903472,rev
GPSC25,1907128,1907151,rev
GPSC25,1907151,1909214,rev
GPSC25,1909214,1911015,rev
GPSC25,1914545,1914566,rev
GPSC25,1918113,1918135,rev
GPSC25,1920863,1922724,rev
GPSC25,1922724,1924675,rev
GPSC25,1924675,1925932,rev
GPSC25,1928282,1929718,rev
GPSC25,1929718,1931851,rev
GPSC25,1931851,1933719,rev
GPSC25,1933719,1935479,rev
GPSC25,1935479,1937418,rev
GPSC25,1937418,1939203,rev
GPSC25,1939203,1940968,rev
GPSC25,1940968,1942758,rev
GPSC25,1942758,1944575,rev
GPSC25,1944575,1946272,rev
GPSC25,1946272,1948119,rev
GPSC25,1948119,1949746,rev
GPSC25,1949746,1951520,rev
GPSC25,1951520,1953356,rev
GPSC25,1956753,1956774,rev
GPSC25,1960307,1961929,rev
GPSC25,1961929,1963775,rev
GPSC25,1963775,1965609,rev
GPSC25,1965609,1967440,rev
GPSC25,1967440,1969396,rev
GPSC25,1969396,1971196,rev
GPSC25,1971196,1972949,rev
GPSC25,1972949,1974798,rev
GPSC25,1974798,1976372,rev
GPSC25,1976372,1977177,rev
GPSC25,1977177,1978953,rev
GPSC25,1978953,1980784,rev
GPSC25,1980784,1982525,rev
GPSC25,1982525,1984346,rev
GPSC25,1984346,1986086,rev
GPSC25,1986086,1987868,rev
GPSC25,1987868,1989575,rev
GPSC25,1989575,1991232,rev
GPSC25,1991232,1992920,rev
GPSC25,1992920,1994669,rev
GPSC25,1994669,1996437,rev
GPSC25,1996437,1998199,rev
GPSC25,1998199,2000012,rev
GPSC25,2000012,2001650,rev
GPSC25,2001650,2003438,rev
GPSC25,2003438,2005287,rev
GPSC25,2005287,2007027,rev
GPSC25,2007027,2008809,rev
GPSC25,2008809,2010602,rev
GPSC25,2010602,2012216,rev
GPSC25,2012216,2013793,rev
GPSC25,2013793,2015510,rev
GPSC25,2015510,2016995,rev
GPSC25,2016995,2018822,rev
GPSC25,2018822,2020581,rev
GPSC25,2020581,2022425,rev
GPSC25,2022425,2024239,rev
GPSC25,2024239,2026013,rev
GPSC25,2026013,2027770,rev
GPSC25,2027770,2029547,rev
GPSC25,2029547,2031529,rev
GPSC25,2031529,2031688,rev
GPSC25,2050868,2052669,rev
GPSC25,2052669,2054570,rev
GPSC25,2054570,2056395,rev
GPSC25,2056395,2058190,rev
GPSC25,2058190,2059977,rev
GPSC25,2059977,2061780,rev
GPSC25,2067034,2067467,rev
GPSC25,2067467,2069281,rev
GPSC25,2069281,2071129,rev
GPSC25,2071129,2072919,rev
GPSC25,2072919,2074724,rev
GPSC25,2074724,2076558,rev
GPSC25,2076558,2078111,rev
GPSC25,2078111,2079863,rev
GPSC25,2079863,2081618,rev
GPSC25,2081618,2083395,rev
GPSC25,2083395,2085131,rev
GPSC25,2085131,2086913,rev
GPSC25,2086913,2088671,rev
GPSC25,2088671,2090409,rev
GPSC25,2090409,2092238,rev
GPSC25,2092238,2093983,rev
GPSC25,2093983,2095743,rev
GPSC25,2095743,2097386,rev
GPSC25,2097386,2099203,rev
GPSC25,2099203,2100809,rev
GPSC25,2104165,2105938,rev
GPSC25,2105938,2107691,rev
GPSC25,2107691,2109450,rev
GPSC25,2109450,2111216,rev
GPSC25,2111216,2112962,rev
GPSC25,2112962,2114789,rev
GPSC25,2118910,2118930,rev
GPSC25,2126656,2128375,rev
GPSC25,2128375,2129102,rev
GPSC26,1737,3554,fwd
GPSC26,3554,5430,fwd
GPSC26,5430,7220,fwd
GPSC26,7220,9075,fwd
GPSC26,9075,10756,fwd
GPSC26,10756,12607,fwd
GPSC26,12607,14543,fwd
GPSC26,14543,16314,fwd
GPSC26,18605,19853,fwd
GPSC26,19853,21642,fwd
GPSC26,21642,21996,fwd
GPSC26,21996,23887,fwd
GPSC26,23887,25870,fwd
GPSC26,25870,27590,fwd
GPSC26,27590,29425,fwd
GPSC26,29425,31303,fwd
GPSC26,31303,33044,fwd
GPSC26,36887,38715,fwd
GPSC26,38715,40519,fwd
GPSC26,40519,42333,fwd
GPSC26,42333,44091,fwd
GPSC26,44091,45736,fwd
GPSC26,45736,47503,fwd
GPSC26,47503,49313,fwd
GPSC26,49313,51097,fwd
GPSC26,51097,52942,fwd
GPSC26,52942,54798,fwd
GPSC26,54798,56596,fwd
GPSC26,56596,58303,fwd
GPSC26,58303,60148,fwd
GPSC26,60148,61844,fwd
GPSC26,61844,63706,fwd
GPSC26,63706,65511,fwd
GPSC26,65511,67274,fwd
GPSC26,67274,69112,fwd
GPSC26,72746,74548,fwd
GPSC26,74548,76428,fwd
GPSC26,76428,78163,fwd
GPSC26,78163,79986,fwd
GPSC26,82688,84493,fwd
GPSC26,88129,89902,fwd
GPSC26,93327,95149,fwd
GPSC26,95149,97011,fwd
GPSC26,97011,98838,fwd
GPSC26,98838,100468,fwd
GPSC26,100468,102288,fwd
GPSC26,102288,104378,fwd
GPSC26,104378,106270,fwd
GPSC26,106270,108027,fwd
GPSC26,111771,113558,fwd
GPSC26,117663,117683,fwd
GPSC26,120637,122460,fwd
GPSC26,122460,124251,fwd
GPSC26,129813,131548,fwd
GPSC26,135219,137054,fwd
GPSC26,137054,138802,fwd
GPSC26,138802,140415,fwd
GPSC26,140415,142077,fwd
GPSC26,142077,144148,fwd
GPSC26,144148,144172,fwd
GPSC26,149280,149302,fwd
GPSC26,154808,156602,fwd
GPSC26,156602,158437,fwd
GPSC26,158437,160284,fwd
GPSC26,160284,162081,fwd
GPSC26,162081,163925,fwd
GPSC26,163925,165708,fwd
GPSC26,165708,167491,fwd
GPSC26,175897,177649,fwd
GPSC26,177649,179477,fwd
GPSC26,179477,181211,fwd
GPSC26,181211,183042,fwd
GPSC26,183042,184757,fwd
GPSC26,184757,186614,fwd
GPSC26,186614,188420,fwd
GPSC26,188420,190317,fwd
GPSC26,190317,192147,fwd
GPSC26,192147,193981,fwd
GPSC26,193981,195817,fwd
GPSC26,195817,197599,fwd
GPSC26,197599,199426,fwd
GPSC26,199426,201219,fwd
GPSC26,201219,203016,fwd
GPSC26,203016,204881,fwd
GPSC26,204881,206558,fwd
GPSC26,206558,208425,fwd
GPSC26,208425,210169,fwd
GPSC26,210169,212031,fwd
GPSC26,212031,213851,fwd
GPSC26,213851,215597,fwd
GPSC26,215597,217394,fwd
GPSC26,217394,219270,fwd
GPSC26,219270,220990,fwd
GPSC26,220990,222793,fwd
GPSC26,222793,224552,fwd
GPSC26,224552,226453,fwd
GPSC26,226453,227845,fwd
GPSC26,227845,229737,fwd
GPSC26,229737,231525,fwd
GPSC26,231525,233336,fwd
GPSC26,233336,235124,fwd
GPSC26,235124,236953,fwd
GPSC26,236953,238538,fwd
GPSC26,238538,240317,fwd
GPSC26,240317,242062,fwd
GPSC26,242062,243834,fwd
GPSC26,243834,245667,fwd
GPSC26,245667,247437,fwd
GPSC26,247437,249233,fwd
GPSC26,249233,251065,fwd
GPSC26,251065,252812,fwd
GPSC26,256388,258207,fwd
GPSC26,261759,263549,fwd
GPSC26,263549,265418,fwd
GPSC26,265418,267179,fwd
GPSC26,267179,268916,fwd
GPSC26,268916,270658,fwd
GPSC26,270658,272491,fwd
GPSC26,272491,274281,fwd
GPSC26,274281,276160,fwd
GPSC26,276160,277881,fwd
GPSC26,277881,279655,fwd
GPSC26,279655,281697,fwd
GPSC26,281697,283396,fwd
GPSC26,283396,285108,fwd
GPSC26,285108,286808,fwd
GPSC26,286808,288679,fwd
GPSC26,292200,293909,fwd
GPSC26,293909,295804,fwd
GPSC26,295804,297514,fwd
GPSC26,297514,299437,fwd
GPSC26,299437,301201,fwd
GPSC26,301201,302995,fwd
GPSC26,302995,304832,fwd
GPSC26,304832,306586,fwd
GPSC26,306586,308334,fwd
GPSC26,308334,310001,fwd
GPSC26,310001,311303,fwd
GPSC26,311303,313102,fwd
GPSC26,313102,314796,fwd
GPSC26,314796,316661,fwd
GPSC26,316661,318476,fwd
GPSC26,318476,320183,fwd
GPSC26,343072,344739,fwd
GPSC26,344739,346571,fwd
GPSC26,346571,348321,fwd
GPSC26,348321,350161,fwd
GPSC26,350161,351978,fwd
GPSC26,351978,353740,fwd
GPSC26,353740,355583,fwd
GPSC26,355583,357443,fwd
GPSC26,360914,362796,fwd
GPSC26,362796,364421,fwd
GPSC26,364421,366150,fwd
GPSC26,366150,367983,fwd
GPSC26,367983,369735,fwd
GPSC26,369735,371662,fwd
GPSC26,371662,373473,fwd
GPSC26,373473,375324,fwd
GPSC26,375324,377350,fwd
GPSC26,377350,377632,fwd
GPSC26,385062,386900,fwd
GPSC26,386900,388746,fwd
GPSC26,388746,390443,fwd
GPSC26,390443,392311,fwd
GPSC26,392311,394155,fwd
GPSC26,394155,395977,fwd
GPSC26,395977,397723,fwd
GPSC26,397723,399496,fwd
GPSC26,399496,401326,fwd
GPSC26,401326,403123,fwd
GPSC26,403123,404979,fwd
GPSC26,404979,406867,fwd
GPSC26,406867,408699,fwd
GPSC26,408699,410443,fwd
GPSC26,415639,417407,fwd
GPSC26,417407,419284,fwd
GPSC26,419284,421060,fwd
GPSC26,421060,422979,fwd
GPSC26,422979,424778,fwd
GPSC26,424778,426597,fwd
GPSC26,426597,428424,fwd
GPSC26,428424,430289,fwd
GPSC26,438710,438729,fwd
GPSC26,441069,442804,fwd
GPSC26,442804,444551,fwd
GPSC26,444551,446558,fwd
GPSC26,446558,448338,fwd
GPSC26,448338,450133,fwd
GPSC26,450133,451883,fwd
GPSC26,451883,453631,fwd
GPSC26,453631,455497,fwd
GPSC26,455497,457266,fwd
GPSC26,457266,458998,fwd
GPSC26,458998,460797,fwd
GPSC26,460797,462654,fwd
GPSC26,462654,464441,fwd
GPSC26,464441,466184,fwd
GPSC26,469469,471278,fwd
GPSC26,471278,473058,fwd
GPSC26,473058,474072,fwd
GPSC26,476655,478544,fwd
GPSC26,478544,480280,fwd
GPSC26,480280,482067,fwd
GPSC26,482067,483919,fwd
GPSC26,483919,485664,fwd
GPSC26,485664,487619,fwd
GPSC26,487619,489448,fwd
GPSC26,489448,491282,fwd
GPSC26,496307,498063,fwd
GPSC26,503283,505205,fwd
GPSC26,505205,506913,fwd
GPSC26,506913,508679,fwd
GPSC26,508679,510572,fwd
GPSC26,510572,512269,fwd
GPSC26,512269,514006,fwd
GPSC26,514006,515800,fwd
GPSC26,515800,517493,fwd
GPSC26,517493,518948,fwd
GPSC26,518948,520740,fwd
GPSC26,520740,522461,fwd
GPSC26,528709,530499,fwd
GPSC26,534058,535965,fwd
GPSC26,535965,537683,fwd
GPSC26,542238,544042,fwd
GPSC26,544042,545722,fwd
GPSC26,545722,547553,fwd
GPSC26,547553,549419,fwd
GPSC26,549419,551272,fwd
GPSC26,551272,552975,fwd
GPSC26,552975,554746,fwd
GPSC26,558324,560050,fwd
GPSC26,563653,565517,fwd
GPSC26,565517,567351,fwd
GPSC26,570891,572727,fwd
GPSC26,578059,579845,fwd
GPSC26,579845,581618,fwd
GPSC26,584437,584462,fwd
GPSC26,587673,589518,fwd
GPSC26,589518,591267,fwd
GPSC26,591267,593067,fwd
GPSC26,596688,598488,fwd
GPSC26,598488,600268,fwd
GPSC26,600268,601996,fwd
GPSC26,601996,603817,fwd
GPSC26,603817,605661,fwd
GPSC26,605661,607484,fwd
GPSC26,607484,609281,fwd
GPSC26,609281,611070,fwd
GPSC26,611070,612888,fwd
GPSC26,612888,614641,fwd
GPSC26,614641,616420,fwd
GPSC26,616420,618241,fwd
GPSC26,618241,620053,fwd
GPSC26,620053,621839,fwd
GPSC26,627485,629260,fwd
GPSC26,629260,631137,fwd
GPSC26,631137,632948,fwd
GPSC26,632948,634675,fwd
GPSC26,634675,636464,fwd
GPSC26,636464,638123,fwd
GPSC26,638123,639800,fwd
GPSC26,639800,641641,fwd
GPSC26,641641,643414,fwd
GPSC26,646832,648666,fwd
GPSC26,655318,655336,fwd
GPSC26,658673,660511,fwd
GPSC26,663973,663995,fwd
GPSC26,667098,668976,fwd
GPSC26,668976,670786,fwd
GPSC26,670786,672593,fwd
GPSC26,672593,674335,fwd
GPSC26,674335,676130,fwd
GPSC26,676130,677988,fwd
GPSC26,677988,679757,fwd
GPSC26,679757,681482,fwd
GPSC26,686939,688458,fwd
GPSC26,688458,690337,fwd
GPSC26,690337,692105,fwd
GPSC26,692105,693902,fwd
GPSC26,693902,695655,fwd
GPSC26,695655,697544,fwd
GPSC26,697544,699310,fwd
GPSC26,699310,701104,fwd
GPSC26,701104,702986,fwd
GPSC26,702986,704671,fwd
GPSC26,704671,706429,fwd
GPSC26,706429,708265,fwd
GPSC26,708265,710197,fwd
GPSC26,710197,712019,fwd
GPSC26,712019,713870,fwd
GPSC26,713870,715463,fwd
GPSC26,715463,717256,fwd
GPSC26,717256,719053,fwd
GPSC26,719053,720943,fwd
GPSC26,720943,722752,fwd
GPSC26,726322,728151,fwd
GPSC26,728151,729907,fwd
GPSC26,729907,731947,fwd
GPSC26,731947,733812,fwd
GPSC26,733812,735638,fwd
GPSC26,735638,737437,fwd
GPSC26,737437,739237,fwd
GPSC26,739237,740975,fwd
GPSC26,740975,742749,fwd
GPSC26,742749,744571,fwd
GPSC26,744571,746252,fwd
GPSC26,746252,748113,fwd
GPSC26,748113,749855,fwd
GPSC26,749855,751702,fwd
GPSC26,751702,753391,fwd
GPSC26,753391,754556,fwd
GPSC26,754556,756297,fwd
GPSC26,756297,758085,fwd
GPSC26,758085,759939,fwd
GPSC26,759939,761989,fwd
GPSC26,761989,763810,fwd
GPSC26,763810,765670,fwd
GPSC26,770423,772119,fwd
GPSC26,772119,773970,fwd
GPSC26,777605,779455,fwd
GPSC26,779455,781622,fwd
GPSC26,781622,783353,fwd
GPSC26,783353,785209,fwd
GPSC26,785209,786984,fwd
GPSC26,786984,788833,fwd
GPSC26,788833,790557,fwd
GPSC26,790557,792348,fwd
GPSC26,792348,794271,fwd
GPSC26,794271,795980,fwd
GPSC26,795980,797853,fwd
GPSC26,797853,799671,fwd
GPSC26,799671,801540,fwd
GPSC26,801540,803361,fwd
GPSC26,803361,805160,fwd
GPSC26,805160,806896,fwd
GPSC26,810438,812290,fwd
GPSC26,812290,813879,fwd
GPSC26,813879,815634,fwd
GPSC26,815634,817430,fwd
GPSC26,817430,819335,fwd
GPSC26,822461,824265,fwd
GPSC26,824265,825943,fwd
GPSC26,825943,827852,fwd
GPSC26,827852,829614,fwd
GPSC26,829614,831443,fwd
GPSC26,831443,833158,fwd
GPSC26,833158,834958,fwd
GPSC26,834958,836707,fwd
GPSC26,836707,838482,fwd
GPSC26,838482,840300,fwd
GPSC26,840300,841948,fwd
GPSC26,845607,847400,fwd
GPSC26,847400,849142,fwd
GPSC26,852397,852830,fwd
GPSC26,856281,857943,fwd
GPSC26,857943,859710,fwd
GPSC26,859710,861617,fwd
GPSC26,861617,863341,fwd
GPSC26,863341,865246,fwd
GPSC26,868714,868735,fwd
GPSC26,872364,872386,fwd
GPSC26,875947,875965,fwd
GPSC26,879510,881342,fwd
GPSC26,881342,883190,fwd
GPSC26,883190,884982,fwd
GPSC26,884982,886673,fwd
GPSC26,886673,888447,fwd
GPSC26,888447,890278,fwd
GPSC26,890278,892132,fwd
GPSC26,892132,893927,fwd
GPSC26,893927,895716,fwd
GPSC26,895716,897551,fwd
GPSC26,897551,899365,fwd
GPSC26,899365,901186,fwd
GPSC26,901186,902959,fwd
GPSC26,902959,904702,fwd
GPSC26,904702,906523,fwd
GPSC26,906523,908231,fwd
GPSC26,908231,910052,fwd
GPSC26,910052,911763,fwd
GPSC26,911763,913561,fwd
GPSC26,913561,915355,fwd
GPSC26,915355,917151,fwd
GPSC26,917151,918954,fwd
GPSC26,918954,920683,fwd
GPSC26,920683,922495,fwd
GPSC26,925219,927148,fwd
GPSC26,927148,928874,fwd
GPSC26,928874,930679,fwd
GPSC26,930679,932424,fwd
GPSC26,932424,934147,fwd
GPSC26,934147,935864,fwd
GPSC26,935864,937707,fwd
GPSC26,937707,939597,fwd
GPSC26,939597,941461,fwd
GPSC26,941461,943221,fwd
GPSC26,952963,952983,fwd
GPSC26,956382,958222,fwd
GPSC26,958222,959985,fwd
GPSC26,959985,961797,fwd
GPSC26,968628,970331,fwd
GPSC26,970331,972124,fwd
GPSC26,972124,973827,fwd
GPSC26,973827,975544,fwd
GPSC26,975544,977333,fwd
GPSC26,977333,979195,fwd
GPSC26,979195,980990,fwd
GPSC26,983284,985217,fwd
GPSC26,985217,987194,fwd
GPSC26,987194,989067,fwd
GPSC26,989067,990662,fwd
GPSC26,990662,992515,fwd
GPSC26,992515,994217,fwd
GPSC26,994217,995857,fwd
GPSC26,999277,999299,fwd
GPSC26,1002481,1004259,fwd
GPSC26,1004259,1006030,fwd
GPSC26,1006030,1007825,fwd
GPSC26,1011469,1013313,fwd
GPSC26,1018383,1018405,fwd
GPSC26,1023793,1025678,fwd
GPSC26,1025678,1027539,fwd
GPSC26,1032275,1034104,fwd
GPSC26,1034104,1035835,fwd
GPSC26,1035835,1037589,fwd
GPSC26,1041272,1043088,fwd
GPSC26,1043088,1044895,fwd
GPSC26,1044895,1046691,fwd
GPSC26,1068017,1068037,fwd
GPSC26,1071537,1071560,fwd
GPSC26,1126335,1126358,fwd
GPSC26,1135548,1137360,fwd
GPSC26,1137360,1139098,fwd
GPSC26,1139098,1140887,fwd
GPSC26,1140887,1142873,fwd
GPSC26,1142873,1144702,fwd
GPSC26,1144702,1146407,fwd
GPSC26,1149933,1151689,fwd
GPSC26,1155209,1156988,fwd
GPSC26,1156988,1158899,fwd
GPSC26,1158899,1160687,fwd
GPSC26,1160687,1162338,fwd
GPSC26,1162338,1164033,fwd
GPSC26,1164033,1165893,fwd
GPSC26,1165893,1167674,fwd
GPSC26,1167674,1169323,fwd
GPSC26,1169323,1171096,fwd
GPSC26,1171096,1173294,fwd
GPSC26,1173294,1175042,fwd
GPSC26,1175042,1176901,fwd
GPSC26,1176901,1178684,fwd
GPSC26,1178684,1180436,fwd
GPSC26,1180436,1182202,fwd
GPSC26,1182202,1184119,fwd
GPSC26,1184119,1185966,fwd
GPSC26,1185966,1187826,fwd
GPSC26,1187826,1189594,fwd
GPSC26,1189594,1191363,fwd
GPSC26,1191363,1193145,fwd
GPSC26,1193145,1194999,fwd
GPSC26,1194999,1196777,fwd
GPSC26,1196777,1198557,fwd
GPSC26,1198557,1200170,fwd
GPSC26,1200170,1201993,fwd
GPSC26,1201993,1203757,fwd
GPSC26,1211849,1213564,fwd
GPSC26,1213564,1215392,fwd
GPSC26,1215392,1217205,fwd
GPSC26,1217205,1219134,fwd
GPSC26,1219134,1220944,fwd
GPSC26,1220944,1222736,fwd
GPSC26,1222736,1224379,fwd
GPSC26,1224379,1226157,fwd
GPSC26,1226157,1227948,fwd
GPSC26,1227948,1229775,fwd
GPSC26,1229775,1231622,fwd
GPSC26,1231622,1233347,fwd
GPSC26,1236964,1238828,fwd
GPSC26,1238828,1240588,fwd
GPSC26,1243897,1245748,fwd
GPSC26,1245748,1247571,fwd
GPSC26,1247571,1249212,fwd
GPSC26,1249212,1251058,fwd
GPSC26,1254100,1255918,fwd
GPSC26,1255918,1257685,fwd
GPSC26,1257685,1259332,fwd
GPSC26,1262932,1264709,fwd
GPSC26,1264709,1266586,fwd
GPSC26,1266586,1268357,fwd
GPSC26,1268357,1270086,fwd
GPSC26,1270086,1271742,fwd
GPSC26,1271742,1273425,fwd
GPSC26,1273425,1275229,fwd
GPSC26,1275229,1276960,fwd
GPSC26,1276960,1278801,fwd
GPSC26,1278801,1280629,fwd
GPSC26,1287227,1287247,fwd
GPSC26,1290255,1290279,fwd
GPSC26,1307057,1308807,fwd
GPSC26,1308807,1310592,fwd
GPSC26,1310592,1312382,fwd
GPSC26,1312382,1314185,fwd
GPSC26,1314185,1315969,fwd
GPSC26,1315969,1317985,fwd
GPSC26,1317985,1319813,fwd
GPSC26,1319813,1321595,fwd
GPSC26,1321595,1323410,fwd
GPSC26,1323410,1325273,fwd
GPSC26,1325273,1327068,fwd
GPSC26,1327068,1328889,fwd
GPSC26,1328889,1330775,fwd
GPSC26,1330775,1332585,fwd
GPSC26,1332585,1334326,fwd
GPSC26,1334326,1336135,fwd
GPSC26,1336135,1337948,fwd
GPSC26,1337948,1339739,fwd
GPSC26,1339739,1341399,fwd
GPSC26,1341399,1343096,fwd
GPSC26,1346566,1348473,fwd
GPSC26,1348473,1350295,fwd
GPSC26,1350295,1352028,fwd
GPSC26,1352028,1354008,fwd
GPSC26,1354008,1355734,fwd
GPSC26,1355734,1357498,fwd
GPSC26,1357498,1359281,fwd
GPSC26,1359281,1361199,fwd
GPSC26,1361199,1362978,fwd
GPSC26,1362978,1364755,fwd
GPSC26,1364755,1366583,fwd
GPSC26,1366583,1368400,fwd
GPSC26,1368400,1370222,fwd
GPSC26,1370222,1372028,fwd
GPSC26,1374379,1375936,fwd
GPSC26,1375936,1377772,fwd
GPSC26,1377772,1379625,fwd
GPSC26,1379625,1381410,fwd
GPSC26,1381410,1382914,fwd
GPSC26,1385171,1385565,fwd
GPSC26,1388598,1390098,fwd
GPSC26,1390098,1391832,fwd
GPSC26,1391832,1393543,fwd
GPSC26,1393543,1395152,fwd
GPSC26,1395152,1396901,fwd
GPSC26,1401315,1403093,fwd
GPSC26,1403093,1404823,fwd
GPSC26,1404823,1406663,fwd
GPSC26,1406663,1408546,fwd
GPSC26,1408546,1410246,fwd
GPSC26,1410246,1412067,fwd
GPSC26,1412067,1413802,fwd
GPSC26,1413802,1415563,fwd
GPSC26,1415563,1417281,fwd
GPSC26,1417281,1418984,fwd
GPSC26,1418984,1420819,fwd
GPSC26,1420819,1422574,fwd
GPSC26,1422574,1424352,fwd
GPSC26,1424352,1426035,fwd
GPSC26,1426035,1427948,fwd
GPSC26,1427948,1429764,fwd
GPSC26,1429764,1431432,fwd
GPSC26,1433685,1433707,fwd
GPSC26,1433707,1435783,fwd
GPSC26,1435783,1436336,fwd
GPSC26,1436336,1438155,fwd
GPSC26,1438155,1439851,fwd
GPSC26,1439851,1441668,fwd
GPSC26,1441668,1443425,fwd
GPSC26,1443425,1445198,fwd
GPSC26,1445198,1447065,fwd
GPSC26,1447065,1448734,fwd
GPSC26,1448734,1450635,fwd
GPSC26,1450635,1452484,fwd
GPSC26,1452484,1454317,fwd
GPSC26,1454317,1456084,fwd
GPSC26,1456084,1457899,fwd
GPSC26,1457899,1459716,fwd
GPSC26,1459716,1461527,fwd
GPSC26,1461527,1463320,fwd
GPSC26,1463320,1465061,fwd
GPSC26,1465061,1466946,fwd
GPSC26,1466946,1468720,fwd
GPSC26,1468720,1470588,fwd
GPSC26,1470588,1471981,fwd
GPSC26,1471981,1473894,fwd
GPSC26,1473894,1475686,fwd
GPSC26,1475686,1477424,fwd
GPSC26,1477424,1479249,fwd
GPSC26,1479249,1481015,fwd
GPSC26,1481015,1482804,fwd
GPSC26,1482804,1484641,fwd
