"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC10_reference","GPSC11_reference","GPSC13_reference","GPSC14_reference","GPSC15_reference","GPSC16_reference","GPSC17_reference","GPSC18_reference","GPSC19_reference","GPSC1_reference","GPSC21_reference","GPSC22_reference","GPSC23_reference","GPSC25_reference","GPSC26_reference","GPSC27_reference","GPSC2_reference","GPSC30_reference","GPSC31_reference","GPSC32_reference","GPSC33_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC43_reference","GPSC47_reference","GPSC4_reference","GPSC5_reference","GPSC6_reference","GPSC7_reference","GPSC8_reference","GPSC9_reference","NC_017592"
"group_1383","","hypothetical protein","35","35","1","1","5521","","","","677","704","683","AP023349_01492","GPSC10_reference_00595","GPSC11_reference_00667","GPSC13_reference_00634","GPSC14_reference_00645","GPSC15_reference_00634","GPSC16_reference_00612","GPSC17_reference_00667","GPSC18_reference_00610","GPSC19_reference_00723","GPSC1_reference_00686","GPSC21_reference_00656","GPSC22_reference_00631","GPSC23_reference_00731","GPSC25_reference_00769","GPSC26_reference_00652","GPSC27_reference_00659","GPSC2_reference_00665","GPSC30_reference_00679","GPSC31_reference_00654","GPSC32_reference_00711","GPSC33_reference_00656","GPSC34_reference_00676","GPSC37_reference_00656","GPSC3_reference_00647","GPSC40_reference_00667","GPSC43_reference_00585","GPSC47_reference_00673","GPSC4_reference_00610","GPSC5_reference_00704","GPSC6_reference_00690","GPSC7_reference_00788","GPSC8_reference_00716","GPSC9_reference_00595","NC_017592_00659"
"pyrF","","Orotidine 5'-phosphate decarboxylase","35","35","1","1","2688","","","","593","701","697","AP023349_01497","GPSC10_reference_00590","GPSC11_reference_00662","GPSC13_reference_00629","GPSC14_reference_00640","GPSC15_reference_00630","GPSC16_reference_00607","GPSC17_reference_00662","GPSC18_reference_00605","GPSC19_reference_00718","GPSC1_reference_00681","GPSC21_reference_00651","GPSC22_reference_00626","GPSC23_reference_00726","GPSC25_reference_00764","GPSC26_reference_00647","GPSC27_reference_00654","GPSC2_reference_00660","GPSC30_reference_00674","GPSC31_reference_00649","GPSC32_reference_00706","GPSC33_reference_00651","GPSC34_reference_00672","GPSC37_reference_00651","GPSC3_reference_00642","GPSC40_reference_00662","GPSC43_reference_00581","GPSC47_reference_00668","GPSC4_reference_00606","GPSC5_reference_00699","GPSC6_reference_00685","GPSC7_reference_00783","GPSC8_reference_00711","GPSC9_reference_00590","NC_017592_00654"
"group_1385","","hypothetical protein","35","35","1","1","2709","","","","260","623","612","AP023349_01518","GPSC10_reference_00575","GPSC11_reference_00647","GPSC13_reference_00613","GPSC14_reference_00625","GPSC15_reference_00614","GPSC16_reference_00592","GPSC17_reference_00647","GPSC18_reference_00582","GPSC19_reference_00695","GPSC1_reference_00665","GPSC21_reference_00635","GPSC22_reference_00611","GPSC23_reference_00710","GPSC25_reference_00749","GPSC26_reference_00622","GPSC27_reference_00630","GPSC2_reference_00644","GPSC30_reference_00659","GPSC31_reference_00624","GPSC32_reference_00689","GPSC33_reference_00615","GPSC34_reference_00656","GPSC37_reference_00635","GPSC3_reference_00626","GPSC40_reference_00647","GPSC43_reference_00566","GPSC47_reference_00652","GPSC4_reference_00585","GPSC5_reference_00683","GPSC6_reference_00669","GPSC7_reference_00739","GPSC8_reference_00695","GPSC9_reference_00573","NC_017592_00638"
"miaA","","tRNA dimethylallyltransferase","35","35","1","1","5398","","","","884","884","884","AP023349_01521","GPSC10_reference_00573","GPSC11_reference_00645","GPSC13_reference_00611","GPSC14_reference_00623","GPSC15_reference_00612","GPSC16_reference_00590","GPSC17_reference_00645","GPSC18_reference_00580","GPSC19_reference_00693","GPSC1_reference_00663","GPSC21_reference_00633","GPSC22_reference_00609","GPSC23_reference_00708","GPSC25_reference_00747","GPSC26_reference_00620","GPSC27_reference_00628","GPSC2_reference_00642","GPSC30_reference_00657","GPSC31_reference_00622","GPSC32_reference_00687","GPSC33_reference_00613","GPSC34_reference_00654","GPSC37_reference_00633","GPSC3_reference_00624","GPSC40_reference_00645","GPSC43_reference_00564","GPSC47_reference_00650","GPSC4_reference_00583","GPSC5_reference_00681","GPSC6_reference_00667","GPSC7_reference_00737","GPSC8_reference_00693","GPSC9_reference_00571","NC_017592_00636"
"glmM","","Phosphoglucosamine mutase","35","35","1","1","5345","","","","1259","1352","1349","AP023349_01595","GPSC10_reference_01431","GPSC11_reference_01462","GPSC13_reference_01390","GPSC14_reference_01447","GPSC15_reference_01364","GPSC16_reference_01483","GPSC17_reference_01443","GPSC18_reference_01418","GPSC19_reference_01492","GPSC1_reference_01438","GPSC21_reference_01409","GPSC22_reference_01409","GPSC23_reference_01584","GPSC25_reference_01537","GPSC26_reference_01515","GPSC27_reference_01480","GPSC2_reference_01496","GPSC30_reference_01487","GPSC31_reference_01429","GPSC32_reference_01551","GPSC33_reference_01387","GPSC34_reference_01406","GPSC37_reference_01401","GPSC3_reference_01509","GPSC40_reference_01402","GPSC43_reference_01368","GPSC47_reference_01563","GPSC4_reference_01440","GPSC5_reference_01465","GPSC6_reference_01446","GPSC7_reference_01507","GPSC8_reference_01525","GPSC9_reference_01407","NC_017592_01422"
"uvrC","","UvrABC system protein C","35","35","1","1","5737","","","","1844","1847","1845","AP023349_01629","GPSC10_reference_00526","GPSC11_reference_00598","GPSC13_reference_00558","GPSC14_reference_00576","GPSC15_reference_00561","GPSC16_reference_00544","GPSC17_reference_00599","GPSC18_reference_00533","GPSC19_reference_00645","GPSC1_reference_00616","GPSC21_reference_00584","GPSC22_reference_00561","GPSC23_reference_00660","GPSC25_reference_00696","GPSC26_reference_00572","GPSC27_reference_00580","GPSC2_reference_00593","GPSC30_reference_00610","GPSC31_reference_00575","GPSC32_reference_00639","GPSC33_reference_00567","GPSC34_reference_00609","GPSC37_reference_00583","GPSC3_reference_00571","GPSC40_reference_00596","GPSC43_reference_00515","GPSC47_reference_00602","GPSC4_reference_00536","GPSC5_reference_00632","GPSC6_reference_00620","GPSC7_reference_00689","GPSC8_reference_00645","GPSC9_reference_00521","NC_017592_00588"
"pnp","","Polyribonucleotide nucleotidyltransferase","35","35","1","1","892","","","","1508","2321","2195","AP023349_01647","GPSC10_reference_00502","GPSC11_reference_00574","GPSC13_reference_00533","GPSC14_reference_00551","GPSC15_reference_00536","GPSC16_reference_00519","GPSC17_reference_00574","GPSC18_reference_00509","GPSC19_reference_00621","GPSC1_reference_00592","GPSC21_reference_00560","GPSC22_reference_00536","GPSC23_reference_00636","GPSC25_reference_00672","GPSC26_reference_00547","GPSC27_reference_00556","GPSC2_reference_00569","GPSC30_reference_00585","GPSC31_reference_00549","GPSC32_reference_00615","GPSC33_reference_00543","GPSC34_reference_00585","GPSC37_reference_00559","GPSC3_reference_00547","GPSC40_reference_00571","GPSC43_reference_00491","GPSC47_reference_00577","GPSC4_reference_00447","GPSC5_reference_00608","GPSC6_reference_00597","GPSC7_reference_00665","GPSC8_reference_00621","GPSC9_reference_00497","NC_017592_00564"
"metF","","5,10-methylenetetrahydrofolate reductase","35","35","1","1","891","","","","866","866","866","AP023349_01648","GPSC10_reference_00501","GPSC11_reference_00573","GPSC13_reference_00532","GPSC14_reference_00550","GPSC15_reference_00535","GPSC16_reference_00518","GPSC17_reference_00573","GPSC18_reference_00508","GPSC19_reference_00620","GPSC1_reference_00591","GPSC21_reference_00559","GPSC22_reference_00535","GPSC23_reference_00635","GPSC25_reference_00671","GPSC26_reference_00546","GPSC27_reference_00555","GPSC2_reference_00567","GPSC30_reference_00584","GPSC31_reference_00548","GPSC32_reference_00614","GPSC33_reference_00542","GPSC34_reference_00584","GPSC37_reference_00558","GPSC3_reference_00546","GPSC40_reference_00570","GPSC43_reference_00490","GPSC47_reference_00576","GPSC4_reference_00448","GPSC5_reference_00607","GPSC6_reference_00596","GPSC7_reference_00664","GPSC8_reference_00620","GPSC9_reference_00496","NC_017592_00563"
"serS","","Serine--tRNA ligase","35","35","1","1","3617","","","","788","1274","1260","AP023349_01739","GPSC10_reference_00364","GPSC11_reference_00428","GPSC13_reference_00387","GPSC14_reference_00399","GPSC15_reference_00399","GPSC16_reference_00378","GPSC17_reference_00431","GPSC18_reference_00361","GPSC19_reference_00478","GPSC1_reference_00436","GPSC21_reference_00342","GPSC22_reference_00388","GPSC23_reference_00475","GPSC25_reference_00528","GPSC26_reference_00395","GPSC27_reference_00392","GPSC2_reference_00424","GPSC30_reference_00449","GPSC31_reference_00397","GPSC32_reference_00473","GPSC33_reference_00406","GPSC34_reference_00439","GPSC37_reference_00410","GPSC3_reference_00403","GPSC40_reference_00419","GPSC43_reference_00344","GPSC47_reference_00418","GPSC4_reference_00370","GPSC5_reference_00462","GPSC6_reference_00438","GPSC7_reference_00516","GPSC8_reference_00467","GPSC9_reference_00355","NC_017592_00424"
"cof","","HMP-PP phosphatase","35","35","1","1","5892","","","","1229","1391","1383","AP023349_01831","GPSC10_reference_01810","GPSC11_reference_01869","GPSC13_reference_01838","GPSC14_reference_01873","GPSC15_reference_01770","GPSC16_reference_01979","GPSC17_reference_01858","GPSC18_reference_01853","GPSC19_reference_01888","GPSC1_reference_01886","GPSC21_reference_01813","GPSC22_reference_01824","GPSC23_reference_02022","GPSC25_reference_01923","GPSC26_reference_01923","GPSC27_reference_01922","GPSC2_reference_01913","GPSC30_reference_01906","GPSC31_reference_01844","GPSC32_reference_01934","GPSC33_reference_01810","GPSC34_reference_01849","GPSC37_reference_01829","GPSC3_reference_01915","GPSC40_reference_01878","GPSC43_reference_01837","GPSC47_reference_01954","GPSC4_reference_01856","GPSC5_reference_01907","GPSC6_reference_01939","GPSC7_reference_01961","GPSC8_reference_01978","GPSC9_reference_01795","NC_017592_01846"
"group_1414","","hypothetical protein","35","35","1","1","5981","","","","953","953","953","AP023349_01907","GPSC10_reference_01866","GPSC11_reference_01912","GPSC13_reference_01891","GPSC14_reference_01918","GPSC15_reference_01813","GPSC16_reference_02038","GPSC17_reference_01901","GPSC18_reference_01894","GPSC19_reference_01958","GPSC1_reference_01946","GPSC21_reference_01859","GPSC22_reference_01872","GPSC23_reference_02081","GPSC25_reference_01970","GPSC26_reference_01982","GPSC27_reference_01981","GPSC2_reference_01971","GPSC30_reference_01950","GPSC31_reference_01886","GPSC32_reference_01978","GPSC33_reference_01854","GPSC34_reference_01893","GPSC37_reference_01880","GPSC3_reference_01974","GPSC40_reference_01925","GPSC43_reference_01712","GPSC47_reference_02013","GPSC4_reference_01909","GPSC5_reference_01961","GPSC6_reference_01999","GPSC7_reference_02006","GPSC8_reference_02037","GPSC9_reference_01842","NC_017592_01905"
"yicL_2","","putative inner membrane transporter YicL","35","35","1","1","490","","","","665","911","902","AP023349_01960","GPSC10_reference_01953","GPSC11_reference_01991","GPSC13_reference_01955","GPSC14_reference_01982","GPSC15_reference_01877","GPSC16_reference_02105","GPSC17_reference_01962","GPSC18_reference_02021","GPSC19_reference_02036","GPSC1_reference_02012","GPSC21_reference_01926","GPSC22_reference_01934","GPSC23_reference_02215","GPSC25_reference_02033","GPSC26_reference_02051","GPSC27_reference_02051","GPSC2_reference_02038","GPSC30_reference_02021","GPSC31_reference_01943","GPSC32_reference_02039","GPSC33_reference_01932","GPSC34_reference_01971","GPSC37_reference_01927","GPSC3_reference_02045","GPSC40_reference_01989","GPSC43_reference_01884","GPSC47_reference_02077","GPSC4_reference_01972","GPSC5_reference_02059","GPSC6_reference_02064","GPSC7_reference_02086","GPSC8_reference_02106","GPSC9_reference_01910","NC_017592_01973"
"mtgA","","Biosynthetic peptidoglycan transglycosylase","35","35","1","1","492","","","","1415","2465","2434","AP023349_01961","GPSC10_reference_01954","GPSC11_reference_01992","GPSC13_reference_01956","GPSC14_reference_01983","GPSC15_reference_01878","GPSC16_reference_02106","GPSC17_reference_01963","GPSC18_reference_02022","GPSC19_reference_02037","GPSC1_reference_02013","GPSC21_reference_01927","GPSC22_reference_01935","GPSC23_reference_02216","GPSC25_reference_02034","GPSC26_reference_02052","GPSC27_reference_02052","GPSC2_reference_02039","GPSC30_reference_02022","GPSC31_reference_01944","GPSC32_reference_02040","GPSC33_reference_01933","GPSC34_reference_01972","GPSC37_reference_01928","GPSC3_reference_02046","GPSC40_reference_01990","GPSC43_reference_01885","GPSC47_reference_02078","GPSC4_reference_01973","GPSC5_reference_02060","GPSC6_reference_02065","GPSC7_reference_02087","GPSC8_reference_02107","GPSC9_reference_01911","NC_017592_01974"
"group_1422","","hypothetical protein","35","35","1","1","2015","","","","593","593","593","AP023349_01997","GPSC10_reference_00092","GPSC11_reference_00122","GPSC13_reference_00084","GPSC14_reference_00135","GPSC15_reference_00116","GPSC16_reference_00106","GPSC17_reference_00099","GPSC18_reference_00073","GPSC19_reference_00182","GPSC1_reference_00128","GPSC21_reference_00060","GPSC22_reference_00101","GPSC23_reference_00171","GPSC25_reference_00205","GPSC26_reference_00089","GPSC27_reference_00095","GPSC2_reference_00151","GPSC30_reference_00151","GPSC31_reference_00098","GPSC32_reference_00187","GPSC33_reference_00120","GPSC34_reference_00145","GPSC37_reference_00129","GPSC3_reference_00131","GPSC40_reference_00141","GPSC43_reference_00067","GPSC47_reference_00114","GPSC4_reference_00101","GPSC5_reference_00168","GPSC6_reference_00162","GPSC7_reference_00196","GPSC8_reference_00151","GPSC9_reference_00085","NC_017592_00139"
"adhB","","Alcohol dehydrogenase 2","35","35","1","1","602","","","","1151","1151","1151","AP023349_02009","GPSC10_reference_02011","GPSC11_reference_02051","GPSC13_reference_02015","GPSC14_reference_02041","GPSC15_reference_01935","GPSC16_reference_02170","GPSC17_reference_02020","GPSC18_reference_02079","GPSC19_reference_00019","GPSC1_reference_02069","GPSC21_reference_01988","GPSC22_reference_01986","GPSC23_reference_02274","GPSC25_reference_02108","GPSC26_reference_02111","GPSC27_reference_02110","GPSC2_reference_02091","GPSC30_reference_02082","GPSC31_reference_02001","GPSC32_reference_00018","GPSC33_reference_01993","GPSC34_reference_02030","GPSC37_reference_01995","GPSC3_reference_02106","GPSC40_reference_02045","GPSC43_reference_01942","GPSC47_reference_02135","GPSC4_reference_02029","GPSC5_reference_02119","GPSC6_reference_02121","GPSC7_reference_00021","GPSC8_reference_02181","GPSC9_reference_01966","NC_017592_02026"
"fucI","","L-fucose isomerase","35","35","1","1","603","","","","977","1766","1743","AP023349_02010","GPSC10_reference_02012","GPSC11_reference_02052","GPSC13_reference_02016","GPSC14_reference_02042","GPSC15_reference_01936","GPSC16_reference_02171","GPSC17_reference_02021","GPSC18_reference_02080","GPSC19_reference_00020","GPSC1_reference_02070","GPSC21_reference_01989","GPSC22_reference_01987","GPSC23_reference_02275","GPSC25_reference_02109","GPSC26_reference_02112","GPSC27_reference_02111","GPSC2_reference_02092","GPSC30_reference_02083","GPSC31_reference_02002","GPSC32_reference_00019","GPSC33_reference_01994","GPSC34_reference_02031","GPSC37_reference_01996","GPSC3_reference_02107","GPSC40_reference_02046","GPSC43_reference_01943","GPSC47_reference_02136","GPSC4_reference_02030","GPSC5_reference_02120","GPSC6_reference_02122","GPSC7_reference_00022","GPSC8_reference_02182","GPSC9_reference_01967","NC_017592_02027"
"group_1572","","hypothetical protein","35","35","1","1","743","","","","194","194","194","AP023349_00003","GPSC10_reference_02102","GPSC11_reference_00034","GPSC13_reference_02090","GPSC14_reference_00036","GPSC15_reference_00035","GPSC16_reference_00003","GPSC17_reference_00011","GPSC18_reference_02163","GPSC19_reference_00098","GPSC1_reference_00003","GPSC21_reference_02148","GPSC22_reference_00010","GPSC23_reference_00003","GPSC25_reference_00064","GPSC26_reference_00003","GPSC27_reference_00003","GPSC2_reference_00003","GPSC30_reference_00033","GPSC31_reference_00016","GPSC32_reference_00099","GPSC33_reference_00013","GPSC34_reference_00055","GPSC37_reference_02084","GPSC3_reference_00003","GPSC40_reference_00045","GPSC43_reference_02026","GPSC47_reference_02218","GPSC4_reference_02115","GPSC5_reference_00036","GPSC6_reference_00003","GPSC7_reference_00105","GPSC8_reference_00003","GPSC9_reference_00003","NC_017592_00003"
"yccU","","putative protein YccU","35","35","1","1","2136","","","","437","437","437","AP023349_00100","GPSC10_reference_00030","GPSC11_reference_00063","GPSC13_reference_00029","GPSC14_reference_00080","GPSC15_reference_00064","GPSC16_reference_00051","GPSC17_reference_00045","GPSC18_reference_00019","GPSC19_reference_00131","GPSC1_reference_00068","GPSC21_reference_00004","GPSC22_reference_00041","GPSC23_reference_00116","GPSC25_reference_00147","GPSC26_reference_00036","GPSC27_reference_00038","GPSC2_reference_00095","GPSC30_reference_00091","GPSC31_reference_00045","GPSC32_reference_00132","GPSC33_reference_00065","GPSC34_reference_00085","GPSC37_reference_00073","GPSC3_reference_00077","GPSC40_reference_00076","GPSC43_reference_00016","GPSC47_reference_00060","GPSC4_reference_00034","GPSC5_reference_00113","GPSC6_reference_00105","GPSC7_reference_00136","GPSC8_reference_00091","GPSC9_reference_00029","NC_017592_00085"
"acpP","","Acyl carrier protein","35","35","1","1","2097","","","","233","233","233","AP023349_00105","GPSC10_reference_00036","GPSC11_reference_00068","GPSC13_reference_00035","GPSC14_reference_00085","GPSC15_reference_00069","GPSC16_reference_00057","GPSC17_reference_00050","GPSC18_reference_00024","GPSC19_reference_00136","GPSC1_reference_00073","GPSC21_reference_00009","GPSC22_reference_00046","GPSC23_reference_00122","GPSC25_reference_00153","GPSC26_reference_00042","GPSC27_reference_00044","GPSC2_reference_00101","GPSC30_reference_00096","GPSC31_reference_00051","GPSC32_reference_00138","GPSC33_reference_00071","GPSC34_reference_00090","GPSC37_reference_00079","GPSC3_reference_00082","GPSC40_reference_00082","GPSC43_reference_00021","GPSC47_reference_00066","GPSC4_reference_00039","GPSC5_reference_00119","GPSC6_reference_00111","GPSC7_reference_00141","GPSC8_reference_00096","GPSC9_reference_00034","NC_017592_00091"
"purH","","Bifunctional purine biosynthesis protein PurH","35","35","1","1","2070","","","","1547","1547","1547","AP023349_00128","GPSC10_reference_00053","GPSC11_reference_00085","GPSC13_reference_00046","GPSC14_reference_00096","GPSC15_reference_00080","GPSC16_reference_00068","GPSC17_reference_00061","GPSC18_reference_00035","GPSC19_reference_00146","GPSC1_reference_00084","GPSC21_reference_00020","GPSC22_reference_00062","GPSC23_reference_00134","GPSC25_reference_00169","GPSC26_reference_00053","GPSC27_reference_00056","GPSC2_reference_00112","GPSC30_reference_00113","GPSC31_reference_00061","GPSC32_reference_00150","GPSC33_reference_00083","GPSC34_reference_00108","GPSC37_reference_00091","GPSC3_reference_00092","GPSC40_reference_00100","GPSC43_reference_00030","GPSC47_reference_00078","GPSC4_reference_00057","GPSC5_reference_00130","GPSC6_reference_00123","GPSC7_reference_00160","GPSC8_reference_00114","GPSC9_reference_00046","NC_017592_00100"
"fcl","","GDP-L-fucose synthase","35","35","1","1","2009","","","","1850","1850","1850","AP023349_00176","GPSC10_reference_00096","GPSC11_reference_00126","GPSC13_reference_00088","GPSC14_reference_00139","GPSC15_reference_00120","GPSC16_reference_00111","GPSC17_reference_00103","GPSC18_reference_00077","GPSC19_reference_00186","GPSC1_reference_00132","GPSC21_reference_00064","GPSC22_reference_00105","GPSC23_reference_00175","GPSC25_reference_00209","GPSC26_reference_00093","GPSC27_reference_00099","GPSC2_reference_00155","GPSC30_reference_00155","GPSC31_reference_00102","GPSC32_reference_00191","GPSC33_reference_00124","GPSC34_reference_00149","GPSC37_reference_00133","GPSC3_reference_00135","GPSC40_reference_00145","GPSC43_reference_00071","GPSC47_reference_00118","GPSC4_reference_00105","GPSC5_reference_00172","GPSC6_reference_00166","GPSC7_reference_00200","GPSC8_reference_00158","GPSC9_reference_00089","NC_017592_00143"
"group_1583","","hypothetical protein","35","35","1","1","2825","","","","233","233","233","AP023349_00195","GPSC10_reference_00121","GPSC11_reference_00149","GPSC13_reference_00121","GPSC14_reference_00161","GPSC15_reference_00146","GPSC16_reference_00134","GPSC17_reference_00130","GPSC18_reference_00106","GPSC19_reference_00217","GPSC1_reference_00163","GPSC21_reference_00095","GPSC22_reference_00129","GPSC23_reference_00209","GPSC25_reference_00242","GPSC26_reference_00127","GPSC27_reference_00118","GPSC2_reference_00179","GPSC30_reference_00187","GPSC31_reference_00126","GPSC32_reference_00222","GPSC33_reference_00156","GPSC34_reference_00175","GPSC37_reference_00164","GPSC3_reference_00165","GPSC40_reference_00175","GPSC43_reference_00091","GPSC47_reference_00152","GPSC4_reference_00121","GPSC5_reference_00200","GPSC6_reference_00201","GPSC7_reference_00227","GPSC8_reference_00193","GPSC9_reference_00115","NC_017592_00179"
"tcyA","","L-cystine-binding protein TcyA","35","35","1","1","2776","","","","821","830","829","AP023349_00210","GPSC10_reference_00145","GPSC11_reference_00172","GPSC13_reference_00150","GPSC14_reference_00184","GPSC15_reference_00173","GPSC16_reference_00157","GPSC17_reference_00157","GPSC18_reference_00133","GPSC19_reference_00243","GPSC1_reference_00189","GPSC21_reference_00122","GPSC22_reference_00156","GPSC23_reference_00233","GPSC25_reference_00268","GPSC26_reference_00152","GPSC27_reference_00144","GPSC2_reference_00205","GPSC30_reference_00211","GPSC31_reference_00155","GPSC32_reference_00245","GPSC33_reference_00180","GPSC34_reference_00199","GPSC37_reference_00188","GPSC3_reference_00195","GPSC40_reference_00203","GPSC43_reference_00115","GPSC47_reference_00180","GPSC4_reference_00144","GPSC5_reference_00224","GPSC6_reference_00223","GPSC7_reference_00253","GPSC8_reference_00216","GPSC9_reference_00138","NC_017592_00205"
"metP","","Methionine import system permease protein MetP","35","35","1","1","2771","","","","692","692","692","AP023349_00214","GPSC10_reference_00149","GPSC11_reference_00176","GPSC13_reference_00154","GPSC14_reference_00188","GPSC15_reference_00177","GPSC16_reference_00161","GPSC17_reference_00161","GPSC18_reference_00137","GPSC19_reference_00247","GPSC1_reference_00193","GPSC21_reference_00126","GPSC22_reference_00160","GPSC23_reference_00237","GPSC25_reference_00272","GPSC26_reference_00156","GPSC27_reference_00148","GPSC2_reference_00209","GPSC30_reference_00215","GPSC31_reference_00159","GPSC32_reference_00249","GPSC33_reference_00184","GPSC34_reference_00203","GPSC37_reference_00192","GPSC3_reference_00199","GPSC40_reference_00207","GPSC43_reference_00119","GPSC47_reference_00184","GPSC4_reference_00148","GPSC5_reference_00228","GPSC6_reference_00227","GPSC7_reference_00257","GPSC8_reference_00220","GPSC9_reference_00142","NC_017592_00209"
"ruvA","","Holliday junction ATP-dependent DNA helicase RuvA","35","35","1","1","2739","","","","593","593","593","AP023349_00226","GPSC10_reference_00164","GPSC11_reference_00198","GPSC13_reference_00169","GPSC14_reference_00203","GPSC15_reference_00192","GPSC16_reference_00176","GPSC17_reference_00176","GPSC18_reference_00148","GPSC19_reference_00269","GPSC1_reference_00209","GPSC21_reference_00148","GPSC22_reference_00175","GPSC23_reference_00259","GPSC25_reference_00287","GPSC26_reference_00178","GPSC27_reference_00170","GPSC2_reference_00224","GPSC30_reference_00230","GPSC31_reference_00181","GPSC32_reference_00264","GPSC33_reference_00199","GPSC34_reference_00218","GPSC37_reference_00214","GPSC3_reference_00214","GPSC40_reference_00222","GPSC43_reference_00134","GPSC47_reference_00199","GPSC4_reference_00163","GPSC5_reference_00244","GPSC6_reference_00242","GPSC7_reference_00272","GPSC8_reference_00235","GPSC9_reference_00157","NC_017592_00224"
"yrrK","","Putative pre-16S rRNA nuclease","35","35","1","1","2493","","","","419","419","419","AP023349_00241","GPSC10_reference_00176","GPSC11_reference_00225","GPSC13_reference_00180","GPSC14_reference_00214","GPSC15_reference_00203","GPSC16_reference_00187","GPSC17_reference_00187","GPSC18_reference_00168","GPSC19_reference_00281","GPSC1_reference_00236","GPSC21_reference_00159","GPSC22_reference_00201","GPSC23_reference_00272","GPSC25_reference_00315","GPSC26_reference_00190","GPSC27_reference_00181","GPSC2_reference_00235","GPSC30_reference_00241","GPSC31_reference_00192","GPSC32_reference_00275","GPSC33_reference_00210","GPSC34_reference_00245","GPSC37_reference_00225","GPSC3_reference_00225","GPSC40_reference_00233","GPSC43_reference_00160","GPSC47_reference_00210","GPSC4_reference_00174","GPSC5_reference_00271","GPSC6_reference_00253","GPSC7_reference_00299","GPSC8_reference_00246","GPSC9_reference_00168","NC_017592_00235"
"group_1593","","hypothetical protein","35","35","1","1","2448","","","","266","266","266","AP023349_00283","GPSC10_reference_00216","GPSC11_reference_00265","GPSC13_reference_00220","GPSC14_reference_00254","GPSC15_reference_00243","GPSC16_reference_00227","GPSC17_reference_00227","GPSC18_reference_00208","GPSC19_reference_00321","GPSC1_reference_00276","GPSC21_reference_00199","GPSC22_reference_00241","GPSC23_reference_00312","GPSC25_reference_00356","GPSC26_reference_00230","GPSC27_reference_00224","GPSC2_reference_00275","GPSC30_reference_00281","GPSC31_reference_00232","GPSC32_reference_00315","GPSC33_reference_00250","GPSC34_reference_00285","GPSC37_reference_00265","GPSC3_reference_00265","GPSC40_reference_00273","GPSC43_reference_00200","GPSC47_reference_00250","GPSC4_reference_00214","GPSC5_reference_00311","GPSC6_reference_00294","GPSC7_reference_00339","GPSC8_reference_00286","GPSC9_reference_00211","NC_017592_00275"
"licC_1","","Lichenan permease IIC component","35","35","1","1","2421","","","","1289","1298","1297","AP023349_00300","GPSC10_reference_00231","GPSC11_reference_00279","GPSC13_reference_00236","GPSC14_reference_00268","GPSC15_reference_00257","GPSC16_reference_00241","GPSC17_reference_00240","GPSC18_reference_00222","GPSC19_reference_00335","GPSC1_reference_00290","GPSC21_reference_00213","GPSC22_reference_00253","GPSC23_reference_00325","GPSC25_reference_00370","GPSC26_reference_00245","GPSC27_reference_00237","GPSC2_reference_00289","GPSC30_reference_00296","GPSC31_reference_00247","GPSC32_reference_00331","GPSC33_reference_00262","GPSC34_reference_00300","GPSC37_reference_00281","GPSC3_reference_00277","GPSC40_reference_00286","GPSC43_reference_00216","GPSC47_reference_00263","GPSC4_reference_00229","GPSC5_reference_00331","GPSC6_reference_00308","GPSC7_reference_00353","GPSC8_reference_00306","GPSC9_reference_00226","NC_017592_00290"
"leuS","","Leucine--tRNA ligase","35","35","1","1","2417","","","","1076","2501","2460","AP023349_00304","GPSC10_reference_00235","GPSC11_reference_00283","GPSC13_reference_00240","GPSC14_reference_00272","GPSC15_reference_00261","GPSC16_reference_00245","GPSC17_reference_00244","GPSC18_reference_00226","GPSC19_reference_00339","GPSC1_reference_00294","GPSC21_reference_00217","GPSC22_reference_00257","GPSC23_reference_00329","GPSC25_reference_00374","GPSC26_reference_00249","GPSC27_reference_00241","GPSC2_reference_00293","GPSC30_reference_00300","GPSC31_reference_00251","GPSC32_reference_00335","GPSC33_reference_00266","GPSC34_reference_00304","GPSC37_reference_00285","GPSC3_reference_00281","GPSC40_reference_00290","GPSC43_reference_00220","GPSC47_reference_00267","GPSC4_reference_00233","GPSC5_reference_00335","GPSC6_reference_00312","GPSC7_reference_00357","GPSC8_reference_00310","GPSC9_reference_00230","NC_017592_00294"
