"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR144577","ERR161044","ERR181435","ERR212146","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1172044","SRR1173640","SRR1180462","SRR671749","SRR998654"
"ctaD","","putative cytochrome c oxidase subunit 1","14","14","1","1","4376","","","","1721","1721","1721","ERR144577_03189","ERR161044_03204","ERR181435_03200","ERR212146_03198","ERR234202_03196","H37Rv_03196","NC_019950_03167","SRR1019139_03194","SRR1163294_03200","SRR1172044_03188","SRR1173640_03190","SRR1180462_03198","SRR671749_03189","SRR998654_03193"
"group_1776","","hypothetical protein","14","14","1","1","1806","","","","191","191","191","ERR144577_01558","ERR161044_01566","ERR181435_01560","ERR212146_01564","ERR234202_01566","H37Rv_01559","NC_019950_01538","SRR1019139_01561","SRR1163294_01557","SRR1172044_01557","SRR1173640_01561","SRR1180462_01563","SRR671749_01556","SRR998654_01559"
"group_1777","","Putative 3-methyladenine DNA glycosylase","14","14","1","1","2042","","","","611","611","611","ERR144577_01779","ERR161044_01784","ERR181435_01782","ERR212146_01784","ERR234202_01784","H37Rv_01780","NC_019950_01752","SRR1019139_01780","SRR1163294_01781","SRR1172044_01777","SRR1173640_01784","SRR1180462_01782","SRR671749_01776","SRR998654_01779"
"group_1778","","Protein","14","14","1","1","2639","","","","356","356","356","ERR144577_02329","ERR161044_02337","ERR181435_02330","ERR212146_02333","ERR234202_02332","H37Rv_02326","NC_019950_02312","SRR1019139_02329","SRR1163294_02332","SRR1172044_02323","SRR1173640_02330","SRR1180462_02332","SRR671749_02325","SRR998654_02327"
"parE1","","Toxin ParE1","14","14","1","1","2352","","","","296","296","296","ERR144577_02063","ERR161044_02076","ERR181435_02070","ERR212146_02071","ERR234202_02067","H37Rv_02064","NC_019950_02038","SRR1019139_02064","SRR1163294_02067","SRR1172044_02061","SRR1173640_02067","SRR1180462_02065","SRR671749_02061","SRR998654_02064"
"group_178","","putative protein","14","14","1","1","2513","","","","431","1142","1000","ERR144577_02203","ERR161044_02214","ERR181435_02206","ERR212146_02207","ERR234202_02206","H37Rv_02201","NC_019950_02186","SRR1019139_02203","SRR1163294_02207","SRR1172044_02198","SRR1173640_02205","SRR1180462_02205","SRR671749_02199","SRR998654_02202"
"gmd_1","","GDP-mannose 4,6-dehydratase","14","14","1","1","1845","","","","362","362","362","ERR144577_01595","ERR161044_01603","ERR181435_01597","ERR212146_01601","ERR234202_01602","H37Rv_01596","NC_019950_01575","SRR1019139_01597","SRR1163294_01594","SRR1172044_01594","SRR1173640_01598","SRR1180462_01599","SRR671749_01593","SRR998654_01595"
"group_1781","","hypothetical protein","14","14","1","1","1054","","","","620","620","620","ERR144577_00821","ERR161044_00830","ERR181435_00823","ERR212146_00827","ERR234202_00829","H37Rv_00824","NC_019950_00805","SRR1019139_00827","SRR1163294_00823","SRR1172044_00823","SRR1173640_00825","SRR1180462_00826","SRR671749_00821","SRR998654_00823"
"espR","","Nucleoid-associated protein EspR","14","14","1","1","3471","","","","398","398","398","ERR144577_04041","ERR161044_04060","ERR181435_04054","ERR212146_04051","ERR234202_04048","H37Rv_04051","NC_019950_04027","SRR1019139_04046","SRR1163294_04051","SRR1172044_04043","SRR1173640_04042","SRR1180462_04050","SRR671749_04045","SRR998654_04051"
"espC","","ESX-1 secretion-associated protein EspC","14","14","1","1","3734","","","","311","311","311","ERR144577_03791","ERR161044_03808","ERR181435_03802","ERR212146_03799","ERR234202_03797","H37Rv_03799","NC_019950_03776","SRR1019139_03796","SRR1163294_03802","SRR1172044_03791","SRR1173640_03792","SRR1180462_03800","SRR671749_03792","SRR998654_03800"
"group_1784","","hypothetical protein","14","14","1","1","925","","","","254","254","254","ERR144577_00700","ERR161044_00705","ERR181435_00702","ERR212146_00705","ERR234202_00706","H37Rv_00703","NC_019950_00690","SRR1019139_00704","SRR1163294_00701","SRR1172044_00700","SRR1173640_00701","SRR1180462_00703","SRR671749_00699","SRR998654_00699"
"hbhA","","Heparin-binding hemagglutinin","14","14","1","1","720","","","","599","599","599","ERR144577_00498","ERR161044_00502","ERR181435_00499","ERR212146_00503","ERR234202_00505","H37Rv_00500","NC_019950_00494","SRR1019139_00503","SRR1163294_00500","SRR1172044_00497","SRR1173640_00499","SRR1180462_00502","SRR671749_00496","SRR998654_00497"
"bpa","","Bacterial proteasome activator","14","14","1","1","3550","","","","524","524","524","ERR144577_03967","ERR161044_03986","ERR181435_03978","ERR212146_03976","ERR234202_03974","H37Rv_03976","NC_019950_03953","SRR1019139_03972","SRR1163294_03977","SRR1172044_03968","SRR1173640_03968","SRR1180462_03975","SRR671749_03970","SRR998654_03977"
"rpsG","","30S ribosomal protein S7","14","14","1","1","951","","","","470","470","470","ERR144577_00722","ERR161044_00728","ERR181435_00724","ERR212146_00727","ERR234202_00728","H37Rv_00725","NC_019950_00712","SRR1019139_00727","SRR1163294_00723","SRR1172044_00723","SRR1173640_00724","SRR1180462_00725","SRR671749_00721","SRR998654_00722"
"group_1788","","hypothetical protein","14","14","1","1","1809","","","","560","560","560","ERR144577_01561","ERR161044_01569","ERR181435_01563","ERR212146_01567","ERR234202_01569","H37Rv_01562","NC_019950_01541","SRR1019139_01564","SRR1163294_01560","SRR1172044_01560","SRR1173640_01564","SRR1180462_01566","SRR671749_01559","SRR998654_01562"
"group_1789","","hypothetical protein","14","14","1","1","2094","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","95","95","95","ERR144577_01831","ERR161044_01836","ERR181435_01833","ERR212146_01835","ERR234202_01835","H37Rv_01831","NC_019950_01803","SRR1019139_01831","SRR1163294_01831","SRR1172044_01828","SRR1173640_01835","SRR1180462_01833","SRR671749_01827","SRR998654_01830"
"group_1790","","hypothetical protein","14","14","1","1","1365","","","","383","383","383","ERR144577_01127","ERR161044_01135","ERR181435_01130","ERR212146_01130","ERR234202_01135","H37Rv_01127","NC_019950_01106","SRR1019139_01131","SRR1163294_01127","SRR1172044_01126","SRR1173640_01130","SRR1180462_01132","SRR671749_01124","SRR998654_01125"
"ugpQ","","Glycerophosphodiester phosphodiesterase, cytoplasmic","14","14","1","1","551","","","","737","737","737","ERR144577_00338","ERR161044_00340","ERR181435_00338","ERR212146_00342","ERR234202_00340","H37Rv_00337","NC_019950_00336","SRR1019139_00340","SRR1163294_00338","SRR1172044_00335","SRR1173640_00339","SRR1180462_00340","SRR671749_00335","SRR998654_00336"
"group_1792","","hypothetical protein","14","14","1","1","1162","","","","275","275","275","ERR144577_00926","ERR161044_00937","ERR181435_00930","ERR212146_00932","ERR234202_00935","H37Rv_00930","NC_019950_00907","SRR1019139_00932","SRR1163294_00927","SRR1172044_00928","SRR1173640_00930","SRR1180462_00932","SRR671749_00926","SRR998654_00927"
"nuoD","","NADH-quinone oxidoreductase subunit D","14","14","1","1","4261","","","","1322","1322","1322","ERR144577_03299","ERR161044_03315","ERR181435_03311","ERR212146_03308","ERR234202_03306","H37Rv_03306","NC_019950_03280","SRR1019139_03305","SRR1163294_03311","SRR1172044_03298","SRR1173640_03300","SRR1180462_03309","SRR671749_03299","SRR998654_03303"
"group_1794","","Immunogenic protein MPT70","14","14","1","1","4559","","","","581","581","581","ERR144577_03012","ERR161044_03029","ERR181435_03024","ERR212146_03021","ERR234202_03020","H37Rv_03018","NC_019950_02990","SRR1019139_03016","SRR1163294_03022","SRR1172044_03009","SRR1173640_03012","SRR1180462_03019","SRR671749_03011","SRR998654_03016"
"group_1795","","hypothetical protein","14","14","1","1","2843","","","","1253","1253","1253","ERR144577_02521","ERR161044_02531","ERR181435_02524","ERR212146_02524","ERR234202_02523","H37Rv_02522","NC_019950_02506","SRR1019139_02520","SRR1163294_02523","SRR1172044_02516","SRR1173640_02521","SRR1180462_02523","SRR671749_02517","SRR998654_02520"
"mbtM","","Long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM","14","14","1","1","1670","","","","1565","1565","1565","ERR144577_01424","ERR161044_01431","ERR181435_01425","ERR212146_01429","ERR234202_01431","H37Rv_01424","NC_019950_01404","SRR1019139_01427","SRR1163294_01422","SRR1172044_01422","SRR1173640_01426","SRR1180462_01427","SRR671749_01421","SRR998654_01423"
"cysQ","","3'-phosphoadenosine 5'-phosphate phosphatase","14","14","1","1","2561","","","","803","803","803","ERR144577_02250","ERR161044_02259","ERR181435_02252","ERR212146_02254","ERR234202_02252","H37Rv_02248","NC_019950_02235","SRR1019139_02249","SRR1163294_02253","SRR1172044_02245","SRR1173640_02252","SRR1180462_02252","SRR671749_02246","SRR998654_02248"
"group_1798","","hypothetical protein","14","14","1","1","686","","","","557","557","557","ERR144577_00464","ERR161044_00468","ERR181435_00465","ERR212146_00470","ERR234202_00471","H37Rv_00466","NC_019950_00460","SRR1019139_00468","SRR1163294_00465","SRR1172044_00463","SRR1173640_00465","SRR1180462_00467","SRR671749_00462","SRR998654_00463"
"ideR","","Iron-dependent repressor IdeR","14","14","1","1","3186","","","","692","692","692","ERR144577_02849","ERR161044_02865","ERR181435_02860","ERR212146_02857","ERR234202_02854","H37Rv_02854","NC_019950_02825","SRR1019139_02851","SRR1163294_02857","SRR1172044_02846","SRR1173640_02849","SRR1180462_02854","SRR671749_02848","SRR998654_02851"
"group_180","","putative PPE family protein PPE36","14","14","1","1","2536","","","","515","731","715","ERR144577_02225","ERR161044_02236","ERR181435_02228","ERR212146_02229","ERR234202_02228","H37Rv_02224","NC_019950_02212","SRR1019139_02225","SRR1163294_02229","SRR1172044_02221","SRR1173640_02227","SRR1180462_02228","SRR671749_02221","SRR998654_02224"
"lsr2","","Nucleoid-associated protein Lsr2","14","14","1","1","3750","","","","338","338","338","ERR144577_03776","ERR161044_03793","ERR181435_03787","ERR212146_03784","ERR234202_03782","H37Rv_03784","NC_019950_03762","SRR1019139_03781","SRR1163294_03787","SRR1172044_03776","SRR1173640_03777","SRR1180462_03785","SRR671749_03777","SRR998654_03785"
"group_1801","","Putative dioxygenase","14","14","1","1","308","","","","869","869","869","ERR144577_00109","ERR161044_00108","ERR181435_00111","ERR212146_00111","ERR234202_00110","H37Rv_00109","NC_019950_00113","SRR1019139_00112","SRR1163294_00110","SRR1172044_00108","SRR1173640_00110","SRR1180462_00110","SRR671749_00108","SRR998654_00109"
"group_1802","","hypothetical protein","14","14","1","1","2802","","","","326","326","326","ERR144577_02480","ERR161044_02490","ERR181435_02483","ERR212146_02483","ERR234202_02482","H37Rv_02481","NC_019950_02468","SRR1019139_02479","SRR1163294_02482","SRR1172044_02475","SRR1173640_02480","SRR1180462_02482","SRR671749_02476","SRR998654_02479"
"group_1803","","hypothetical protein","14","14","1","1","1361","","","","473","473","473","ERR144577_01123","ERR161044_01131","ERR181435_01126","ERR212146_01126","ERR234202_01131","H37Rv_01123","NC_019950_01102","SRR1019139_01127","SRR1163294_01123","SRR1172044_01122","SRR1173640_01126","SRR1180462_01128","SRR671749_01120","SRR998654_01121"
"ureB","","Urease subunit beta","14","14","1","1","2231","","","","314","314","314","ERR144577_01949","ERR161044_01959","ERR181435_01955","ERR212146_01955","ERR234202_01953","H37Rv_01949","NC_019950_01928","SRR1019139_01949","SRR1163294_01951","SRR1172044_01946","SRR1173640_01953","SRR1180462_01951","SRR671749_01946","SRR998654_01949"
"group_1805","","putative protein","14","14","1","1","750","","","","1076","1076","1076","ERR144577_00528","ERR161044_00532","ERR181435_00529","ERR212146_00533","ERR234202_00534","H37Rv_00530","NC_019950_00524","SRR1019139_00533","SRR1163294_00530","SRR1172044_00527","SRR1173640_00529","SRR1180462_00532","SRR671749_00526","SRR998654_00527"
"group_1806","","hypothetical protein","14","14","1","1","1489","","","","107","107","107","ERR144577_01242","ERR161044_01250","ERR181435_01244","ERR212146_01246","ERR234202_01250","H37Rv_01242","NC_019950_01220","SRR1019139_01246","SRR1163294_01241","SRR1172044_01241","SRR1173640_01245","SRR1180462_01246","SRR671749_01239","SRR998654_01240"
"coxS","","Carbon monoxide dehydrogenase small chain","14","14","1","1","612","","","","479","479","479","ERR144577_00395","ERR161044_00396","ERR181435_00396","ERR212146_00400","ERR234202_00399","H37Rv_00396","NC_019950_00393","SRR1019139_00398","SRR1163294_00396","SRR1172044_00394","SRR1173640_00396","SRR1180462_00397","SRR671749_00393","SRR998654_00393"
"mmsB_2","","putative 3-hydroxyisobutyrate dehydrogenase","14","14","1","1","1022","","","","884","884","884","ERR144577_00791","ERR161044_00798","ERR181435_00793","ERR212146_00796","ERR234202_00798","H37Rv_00794","NC_019950_00775","SRR1019139_00797","SRR1163294_00793","SRR1172044_00792","SRR1173640_00795","SRR1180462_00795","SRR671749_00790","SRR998654_00792"
"yhdG_2","","putative amino acid permease YhdG","14","14","1","1","4137","","","","1487","1487","1487","ERR144577_03417","ERR161044_03433","ERR181435_03427","ERR212146_03428","ERR234202_03423","H37Rv_03425","NC_019950_03399","SRR1019139_03425","SRR1163294_03431","SRR1172044_03417","SRR1173640_03418","SRR1180462_03428","SRR671749_03418","SRR998654_03422"
"group_1810","","hypothetical protein","14","14","1","1","2824","","","","1313","1313","1313","ERR144577_02502","ERR161044_02512","ERR181435_02505","ERR212146_02505","ERR234202_02504","H37Rv_02503","NC_019950_02487","SRR1019139_02501","SRR1163294_02504","SRR1172044_02497","SRR1173640_02502","SRR1180462_02504","SRR671749_02498","SRR998654_02501"
"group_1811","","hypothetical protein","14","14","1","1","3864","","","","164","164","164","ERR144577_03665","ERR161044_03682","ERR181435_03675","ERR212146_03674","ERR234202_03669","H37Rv_03674","NC_019950_03652","SRR1019139_03671","SRR1163294_03676","SRR1172044_03666","SRR1173640_03666","SRR1180462_03673","SRR671749_03666","SRR998654_03672"
"rimP","","Ribosome maturation factor RimP","14","14","1","1","4596","","","","551","551","551","ERR144577_02977","ERR161044_02994","ERR181435_02989","ERR212146_02986","ERR234202_02984","H37Rv_02983","NC_019950_02954","SRR1019139_02981","SRR1163294_02987","SRR1172044_02974","SRR1173640_02977","SRR1180462_02984","SRR671749_02976","SRR998654_02980"
"serS","","Serine--tRNA ligase","14","14","1","1","3494","","","","1259","1259","1259","ERR144577_04021","ERR161044_04041","ERR181435_04034","ERR212146_04031","ERR234202_04029","H37Rv_04031","NC_019950_04007","SRR1019139_04027","SRR1163294_04032","SRR1172044_04023","SRR1173640_04022","SRR1180462_04031","SRR671749_04025","SRR998654_04032"
"aac","","Aminoglycoside 2'-N-acetyltransferase","14","14","1","1","489","","","","545","545","545","ERR144577_00283","ERR161044_00282","ERR181435_00283","ERR212146_00286","ERR234202_00283","H37Rv_00281","NC_019950_00283","SRR1019139_00285","SRR1163294_00283","SRR1172044_00280","SRR1173640_00284","SRR1180462_00285","SRR671749_00280","SRR998654_00281"
"def","","Peptide deformylase","14","14","1","1","672","","","","593","593","593","ERR144577_00450","ERR161044_00454","ERR181435_00451","ERR212146_00456","ERR234202_00457","H37Rv_00452","NC_019950_00446","SRR1019139_00454","SRR1163294_00451","SRR1172044_00449","SRR1173640_00451","SRR1180462_00453","SRR671749_00448","SRR998654_00449"
"group_1816","","hypothetical protein","14","14","1","1","204","","","","107","107","107","ERR144577_00011","ERR161044_00010","ERR181435_00010","ERR212146_00011","ERR234202_00010","H37Rv_00011","NC_019950_00013","SRR1019139_00011","SRR1163294_00011","SRR1172044_00011","SRR1173640_00010","SRR1180462_00011","SRR671749_00011","SRR998654_00011"
"group_1817","","hypothetical protein","14","14","1","1","2547","","","","836","836","836","ERR144577_02236","ERR161044_02247","ERR181435_02239","ERR212146_02240","ERR234202_02239","H37Rv_02235","NC_019950_02223","SRR1019139_02236","SRR1163294_02240","SRR1172044_02232","SRR1173640_02238","SRR1180462_02239","SRR671749_02232","SRR998654_02235"
"group_1818","","hypothetical protein","14","14","1","1","2625","","","","278","278","278","ERR144577_02315","ERR161044_02323","ERR181435_02316","ERR212146_02319","ERR234202_02318","H37Rv_02312","NC_019950_02297","SRR1019139_02315","SRR1163294_02318","SRR1172044_02309","SRR1173640_02316","SRR1180462_02318","SRR671749_02311","SRR998654_02313"
"greA","","Transcription elongation factor GreA","14","14","1","1","1383","","","","494","494","494","ERR144577_01144","ERR161044_01152","ERR181435_01147","ERR212146_01147","ERR234202_01153","H37Rv_01144","NC_019950_01124","SRR1019139_01148","SRR1163294_01144","SRR1172044_01143","SRR1173640_01147","SRR1180462_01149","SRR671749_01141","SRR998654_01142"
"group_182","","hypothetical protein","14","14","1","1","2593","","","","257","620","488","ERR144577_02283","ERR161044_02292","ERR181435_02285","ERR212146_02288","ERR234202_02286","H37Rv_02281","NC_019950_02268","SRR1019139_02283","SRR1163294_02286","SRR1172044_02278","SRR1173640_02285","SRR1180462_02286","SRR671749_02280","SRR998654_02281"
"group_1820","","Putative antitoxin VapB49","14","14","1","1","4226","","","","248","248","248","ERR144577_03332","ERR161044_03348","ERR181435_03344","ERR212146_03341","ERR234202_03339","H37Rv_03339","NC_019950_03314","SRR1019139_03339","SRR1163294_03345","SRR1172044_03331","SRR1173640_03333","SRR1180462_03342","SRR671749_03332","SRR998654_03336"
"group_1821","","putative protein","14","14","1","1","1230","","","","866","866","866","ERR144577_00994","ERR161044_01004","ERR181435_00997","ERR212146_00999","ERR234202_01003","H37Rv_00996","NC_019950_00975","SRR1019139_00999","SRR1163294_00995","SRR1172044_00995","SRR1173640_00998","SRR1180462_01000","SRR671749_00993","SRR998654_00994"
"gabT","","4-aminobutyrate aminotransferase","14","14","1","1","3062","","","","1349","1349","1349","ERR144577_02724","ERR161044_02740","ERR181435_02734","ERR212146_02731","ERR234202_02729","H37Rv_02729","NC_019950_02718","SRR1019139_02726","SRR1163294_02731","SRR1172044_02721","SRR1173640_02724","SRR1180462_02729","SRR671749_02722","SRR998654_02726"
"group_1823","","hypothetical protein","14","14","1","1","957","","","","248","248","248","ERR144577_00728","ERR161044_00734","ERR181435_00730","ERR212146_00733","ERR234202_00734","H37Rv_00731","NC_019950_00718","SRR1019139_00733","SRR1163294_00729","SRR1172044_00729","SRR1173640_00730","SRR1180462_00731","SRR671749_00727","SRR998654_00728"
"ppiA","","Peptidyl-prolyl cis-trans isomerase A","14","14","1","1","207","","","","548","548","548","ERR144577_00013","ERR161044_00013","ERR181435_00013","ERR212146_00014","ERR234202_00013","H37Rv_00014","NC_019950_00015","SRR1019139_00014","SRR1163294_00013","SRR1172044_00014","SRR1173640_00013","SRR1180462_00013","SRR671749_00013","SRR998654_00013"
"group_1825","","putative protein","14","14","1","1","2416","","","","1325","1325","1325","ERR144577_02124","ERR161044_02135","ERR181435_02130","ERR212146_02131","ERR234202_02127","H37Rv_02123","NC_019950_02101","SRR1019139_02124","SRR1163294_02128","SRR1172044_02120","SRR1173640_02127","SRR1180462_02126","SRR671749_02121","SRR998654_02123"
"gcvT","","Aminomethyltransferase","14","14","1","1","2647","","","","1103","1103","1103","ERR144577_02337","ERR161044_02344","ERR181435_02339","ERR212146_02340","ERR234202_02339","H37Rv_02334","NC_019950_02319","SRR1019139_02336","SRR1163294_02339","SRR1172044_02331","SRR1173640_02337","SRR1180462_02339","SRR671749_02332","SRR998654_02335"
"group_1827","","hypothetical protein","14","14","1","1","2246","","","","755","755","755","ERR144577_01964","ERR161044_01974","ERR181435_01970","ERR212146_01970","ERR234202_01968","H37Rv_01964","NC_019950_01943","SRR1019139_01964","SRR1163294_01966","SRR1172044_01961","SRR1173640_01968","SRR1180462_01966","SRR671749_01961","SRR998654_01964"
"group_1828","","hypothetical protein","14","14","1","1","960","","","","89","89","89","ERR144577_00731","ERR161044_00737","ERR181435_00733","ERR212146_00736","ERR234202_00737","H37Rv_00734","NC_019950_00721","SRR1019139_00736","SRR1163294_00732","SRR1172044_00732","SRR1173640_00733","SRR1180462_00734","SRR671749_00730","SRR998654_00731"
"group_1829","","hypothetical protein","14","14","1","1","762","","","","299","299","299","ERR144577_00540","ERR161044_00544","ERR181435_00541","ERR212146_00545","ERR234202_00546","H37Rv_00542","NC_019950_00536","SRR1019139_00545","SRR1163294_00542","SRR1172044_00539","SRR1173640_00541","SRR1180462_00544","SRR671749_00538","SRR998654_00539"
"group_183","","hypothetical protein","14","14","1","1","2622","","","","731","833","748","ERR144577_02313","ERR161044_02321","ERR181435_02314","ERR212146_02317","ERR234202_02316","H37Rv_02310","NC_019950_02295","SRR1019139_02313","SRR1163294_02316","SRR1172044_02307","SRR1173640_02314","SRR1180462_02316","SRR671749_02309","SRR998654_02311"
"group_1830","","putative protein","14","14","1","1","2095","","","","242","242","242","ERR144577_01832","ERR161044_01837","ERR181435_01834","ERR212146_01836","ERR234202_01836","H37Rv_01832","NC_019950_01804","SRR1019139_01832","SRR1163294_01832","SRR1172044_01829","SRR1173640_01836","SRR1180462_01834","SRR671749_01828","SRR998654_01831"
"group_1831","","hypothetical protein","14","14","1","1","2338","","","","104","104","104","ERR144577_02049","ERR161044_02062","ERR181435_02056","ERR212146_02057","ERR234202_02053","H37Rv_02050","NC_019950_02025","SRR1019139_02050","SRR1163294_02053","SRR1172044_02047","SRR1173640_02053","SRR1180462_02051","SRR671749_02047","SRR998654_02050"
"group_1832","","hypothetical protein","14","14","1","1","1826","","","","758","758","758","ERR144577_01577","ERR161044_01585","ERR181435_01580","ERR212146_01583","ERR234202_01585","H37Rv_01578","NC_019950_01557","SRR1019139_01580","SRR1163294_01576","SRR1172044_01576","SRR1173640_01580","SRR1180462_01582","SRR671749_01575","SRR998654_01578"
"ppx2","","Exopolyphosphatase 2","14","14","1","1","1319","","","","959","959","959","ERR144577_01081","ERR161044_01091","ERR181435_01085","ERR212146_01086","ERR234202_01090","H37Rv_01083","NC_019950_01070","SRR1019139_01086","SRR1163294_01082","SRR1172044_01082","SRR1173640_01085","SRR1180462_01087","SRR671749_01080","SRR998654_01081"
"group_1834","","Universal stress protein","14","14","1","1","4276","","","","806","806","806","ERR144577_03284","ERR161044_03300","ERR181435_03296","ERR212146_03293","ERR234202_03291","H37Rv_03291","NC_019950_03265","SRR1019139_03290","SRR1163294_03296","SRR1172044_03283","SRR1173640_03285","SRR1180462_03294","SRR671749_03284","SRR998654_03288"
"mbtN","","Acyl-[acyl-carrier-protein] dehydrogenase MbtN","14","14","1","1","1671","","","","1160","1160","1160","ERR144577_01425","ERR161044_01432","ERR181435_01426","ERR212146_01430","ERR234202_01432","H37Rv_01425","NC_019950_01405","SRR1019139_01428","SRR1163294_01423","SRR1172044_01423","SRR1173640_01427","SRR1180462_01428","SRR671749_01422","SRR998654_01424"
"group_1836","","hypothetical protein","14","14","1","1","3871","","","","605","605","605","ERR144577_03658","ERR161044_03675","ERR181435_03668","ERR212146_03667","ERR234202_03662","H37Rv_03667","NC_019950_03645","SRR1019139_03664","SRR1163294_03669","SRR1172044_03659","SRR1173640_03659","SRR1180462_03666","SRR671749_03659","SRR998654_03665"
"group_1837","","hypothetical protein","14","14","1","1","1456","","","","131","131","131","ERR144577_01213","ERR161044_01220","ERR181435_01215","ERR212146_01217","ERR234202_01221","H37Rv_01212","NC_019950_01190","SRR1019139_01217","SRR1163294_01212","SRR1172044_01211","SRR1173640_01216","SRR1180462_01217","SRR671749_01209","SRR998654_01211"
"group_1838","","hypothetical protein","14","14","1","1","4587","","","","470","470","470","ERR144577_02986","ERR161044_03003","ERR181435_02998","ERR212146_02995","ERR234202_02994","H37Rv_02992","NC_019950_02963","SRR1019139_02990","SRR1163294_02996","SRR1172044_02983","SRR1173640_02986","SRR1180462_02993","SRR671749_02985","SRR998654_02989"
"group_1839","","hypothetical protein","14","14","1","1","1366","","","","566","566","566","ERR144577_01128","ERR161044_01136","ERR181435_01131","ERR212146_01131","ERR234202_01136","H37Rv_01128","NC_019950_01107","SRR1019139_01132","SRR1163294_01128","SRR1172044_01127","SRR1173640_01131","SRR1180462_01133","SRR671749_01125","SRR998654_01126"
"group_1840","","hypothetical protein","14","14","1","1","667","","","","275","275","275","ERR144577_00445","ERR161044_00449","ERR181435_00446","ERR212146_00451","ERR234202_00452","H37Rv_00447","NC_019950_00441","SRR1019139_00449","SRR1163294_00446","SRR1172044_00444","SRR1173640_00446","SRR1180462_00448","SRR671749_00443","SRR998654_00444"
"group_1841","","hypothetical protein","14","14","1","1","1997","","","","1055","1055","1055","ERR144577_01737","ERR161044_01742","ERR181435_01739","ERR212146_01742","ERR234202_01742","H37Rv_01737","NC_019950_01709","SRR1019139_01737","SRR1163294_01736","SRR1172044_01735","SRR1173640_01741","SRR1180462_01739","SRR671749_01734","SRR998654_01737"
"lprN_4","","Lipoprotein LprN","14","14","1","1","3858","","","","1154","1154","1154","ERR144577_03671","ERR161044_03688","ERR181435_03681","ERR212146_03680","ERR234202_03675","H37Rv_03680","NC_019950_03658","SRR1019139_03677","SRR1163294_03682","SRR1172044_03672","SRR1173640_03672","SRR1180462_03679","SRR671749_03672","SRR998654_03678"
"group_1843","","putative protein","14","14","1","1","2207","","","","488","488","488","ERR144577_01927","ERR161044_01935","ERR181435_01933","ERR212146_01933","ERR234202_01931","H37Rv_01927","NC_019950_01906","SRR1019139_01928","SRR1163294_01929","SRR1172044_01924","SRR1173640_01931","SRR1180462_01929","SRR671749_01924","SRR998654_01928"
"group_1844","","hypothetical protein","14","14","1","1","2754","","","","332","332","332","ERR144577_02435","ERR161044_02444","ERR181435_02436","ERR212146_02438","ERR234202_02437","H37Rv_02435","NC_019950_02422","SRR1019139_02433","SRR1163294_02436","SRR1172044_02430","SRR1173640_02435","SRR1180462_02436","SRR671749_02431","SRR998654_02433"
"group_1845","","Antitoxin VapB40","14","14","1","1","3068","","","","212","212","212","ERR144577_02730","ERR161044_02746","ERR181435_02740","ERR212146_02737","ERR234202_02735","H37Rv_02735","NC_019950_02724","SRR1019139_02732","SRR1163294_02737","SRR1172044_02727","SRR1173640_02730","SRR1180462_02735","SRR671749_02728","SRR998654_02732"
"yegS","","lipid kinase YegS","14","14","1","1","4177","","","","965","965","965","ERR144577_03381","ERR161044_03397","ERR181435_03391","ERR212146_03390","ERR234202_03387","H37Rv_03388","NC_019950_03359","SRR1019139_03388","SRR1163294_03394","SRR1172044_03380","SRR1173640_03382","SRR1180462_03391","SRR671749_03381","SRR998654_03385"
"arsR1","","Arsenic resistance transcriptional regulator ArsR1","14","14","1","1","3118","","","","380","380","380","ERR144577_02778","ERR161044_02794","ERR181435_02789","ERR212146_02785","ERR234202_02783","H37Rv_02783","NC_019950_02772","SRR1019139_02781","SRR1163294_02786","SRR1172044_02775","SRR1173640_02778","SRR1180462_02783","SRR671749_02777","SRR998654_02780"
"ruvB","","Holliday junction ATP-dependent DNA helicase RuvB","14","14","1","1","3065","","","","1034","1034","1034","ERR144577_02727","ERR161044_02743","ERR181435_02737","ERR212146_02734","ERR234202_02732","H37Rv_02732","NC_019950_02721","SRR1019139_02729","SRR1163294_02734","SRR1172044_02724","SRR1173640_02727","SRR1180462_02732","SRR671749_02725","SRR998654_02729"
"group_1849","","putative protein","14","14","1","1","776","","","","608","608","608","ERR144577_00552","ERR161044_00557","ERR181435_00553","ERR212146_00557","ERR234202_00558","H37Rv_00554","NC_019950_00549","SRR1019139_00557","SRR1163294_00554","SRR1172044_00551","SRR1173640_00553","SRR1180462_00556","SRR671749_00550","SRR998654_00551"
"group_1850","","hypothetical protein","14","14","1","1","3564","","","","272","272","272","ERR144577_03952","ERR161044_03970","ERR181435_03963","ERR212146_03961","ERR234202_03959","H37Rv_03961","NC_019950_03938","SRR1019139_03957","SRR1163294_03962","SRR1172044_03953","SRR1173640_03953","SRR1180462_03960","SRR671749_03954","SRR998654_03962"
