"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC15_reference","GPSC21_reference","GPSC22_reference","GPSC26_reference","GPSC31_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC4_reference","GPSC8_reference","NC_017592"
"group_1610","","hypothetical protein","14","14","1","1","4330","","","","1487","1487","1487","AP023349_01322","GPSC15_reference_01142","GPSC21_reference_01153","GPSC22_reference_01170","GPSC26_reference_01257","GPSC31_reference_01163","GPSC32_reference_01288","GPSC34_reference_01177","GPSC37_reference_01164","GPSC3_reference_01238","GPSC40_reference_01190","GPSC4_reference_01088","GPSC8_reference_01273","NC_017592_01182"
"group_1611","","hypothetical protein","14","14","1","1","4328","","","","809","809","809","AP023349_01324","GPSC15_reference_01144","GPSC21_reference_01155","GPSC22_reference_01172","GPSC26_reference_01259","GPSC31_reference_01165","GPSC32_reference_01290","GPSC34_reference_01179","GPSC37_reference_01166","GPSC3_reference_01240","GPSC40_reference_01192","GPSC4_reference_01090","GPSC8_reference_01275","NC_017592_01184"
"carB","","Carbamoyl-phosphate synthase large chain","14","14","1","1","4327","","","","3176","3176","3176","AP023349_01325","GPSC15_reference_01145","GPSC21_reference_01156","GPSC22_reference_01173","GPSC26_reference_01260","GPSC31_reference_01166","GPSC32_reference_01291","GPSC34_reference_01180","GPSC37_reference_01167","GPSC3_reference_01241","GPSC40_reference_01193","GPSC4_reference_01091","GPSC8_reference_01276","NC_017592_01185"
"pyrR","","Bifunctional protein PyrR","14","14","1","1","4324","","","","521","521","521","AP023349_01328","GPSC15_reference_01148","GPSC21_reference_01159","GPSC22_reference_01176","GPSC26_reference_01263","GPSC31_reference_01169","GPSC32_reference_01294","GPSC34_reference_01183","GPSC37_reference_01170","GPSC3_reference_01244","GPSC40_reference_01196","GPSC4_reference_01094","GPSC8_reference_01279","NC_017592_01188"
"pdg","","Ultraviolet N-glycosylase/AP lyase","14","14","1","1","4323","","","","629","629","629","AP023349_01330","GPSC15_reference_01149","GPSC21_reference_01160","GPSC22_reference_01177","GPSC26_reference_01264","GPSC31_reference_01170","GPSC32_reference_01295","GPSC34_reference_01184","GPSC37_reference_01171","GPSC3_reference_01245","GPSC40_reference_01197","GPSC4_reference_01095","GPSC8_reference_01280","NC_017592_01189"
"htpX","","Protease HtpX ","14","14","1","1","4319","","","","899","899","899","AP023349_01336","GPSC15_reference_01153","GPSC21_reference_01164","GPSC22_reference_01181","GPSC26_reference_01268","GPSC31_reference_01174","GPSC32_reference_01299","GPSC34_reference_01187","GPSC37_reference_01175","GPSC3_reference_01249","GPSC40_reference_01200","GPSC4_reference_01099","GPSC8_reference_01286","NC_017592_01193"
"group_1616","","hypothetical protein","14","14","1","1","4312","","","","332","353","333","AP023349_01342","GPSC15_reference_01158","GPSC21_reference_01169","GPSC22_reference_01186","GPSC26_reference_01273","GPSC31_reference_01179","GPSC32_reference_01304","GPSC34_reference_01192","GPSC37_reference_01180","GPSC3_reference_01254","GPSC40_reference_01205","GPSC4_reference_01104","GPSC8_reference_01291","NC_017592_01198"
"group_1617","","Putative phosphatase","14","14","1","1","4309","","","","806","806","806","AP023349_01346","GPSC15_reference_01161","GPSC21_reference_01172","GPSC22_reference_01189","GPSC26_reference_01276","GPSC31_reference_01182","GPSC32_reference_01307","GPSC34_reference_01198","GPSC37_reference_01183","GPSC3_reference_01257","GPSC40_reference_01208","GPSC4_reference_01107","GPSC8_reference_01294","NC_017592_01201"
"crcB_1","","Putative fluoride ion transporter CrcB","14","14","1","1","4301","","","","329","329","329","AP023349_01356","GPSC15_reference_01164","GPSC21_reference_01180","GPSC22_reference_01192","GPSC26_reference_01281","GPSC31_reference_01186","GPSC32_reference_01311","GPSC34_reference_01201","GPSC37_reference_01187","GPSC3_reference_01261","GPSC40_reference_01211","GPSC4_reference_01110","GPSC8_reference_01297","NC_017592_01204"
"rpmE2","","50S ribosomal protein L31 type B","14","14","1","1","4296","","","","242","242","242","AP023349_01361","GPSC15_reference_01169","GPSC21_reference_01185","GPSC22_reference_01197","GPSC26_reference_01286","GPSC31_reference_01191","GPSC32_reference_01316","GPSC34_reference_01206","GPSC37_reference_01192","GPSC3_reference_01266","GPSC40_reference_01216","GPSC4_reference_01115","GPSC8_reference_01302","NC_017592_01209"
"group_1620","","Nucleoid-associated protein","14","14","1","1","3584","","","","299","299","299","AP023349_01370","GPSC15_reference_01002","GPSC21_reference_00982","GPSC22_reference_01019","GPSC26_reference_01169","GPSC31_reference_01013","GPSC32_reference_01094","GPSC34_reference_01045","GPSC37_reference_01026","GPSC3_reference_01037","GPSC40_reference_01052","GPSC4_reference_00984","GPSC8_reference_01124","NC_017592_01049"
"glmU","","Bifunctional protein GlmU","14","14","1","1","4595","","","","1379","1379","1379","AP023349_01378","GPSC15_reference_00915","GPSC21_reference_00468","GPSC22_reference_00901","GPSC26_reference_00921","GPSC31_reference_00914","GPSC32_reference_00984","GPSC34_reference_00938","GPSC37_reference_00929","GPSC3_reference_00975","GPSC40_reference_00931","GPSC4_reference_00877","GPSC8_reference_00985","NC_017592_00927"
"group_1622","","hypothetical protein","14","14","1","1","4594","","","","788","800","797","AP023349_01379","GPSC15_reference_00914","GPSC21_reference_00469","GPSC22_reference_00900","GPSC26_reference_00920","GPSC31_reference_00913","GPSC32_reference_00983","GPSC34_reference_00937","GPSC37_reference_00928","GPSC3_reference_00974","GPSC40_reference_00930","GPSC4_reference_00876","GPSC8_reference_00984","NC_017592_00926"
"group_1623","","hypothetical protein","14","14","1","1","4593","","","","842","842","842","AP023349_01380","GPSC15_reference_00913","GPSC21_reference_00470","GPSC22_reference_00899","GPSC26_reference_00919","GPSC31_reference_00912","GPSC32_reference_00982","GPSC34_reference_00936","GPSC37_reference_00927","GPSC3_reference_00973","GPSC40_reference_00929","GPSC4_reference_00875","GPSC8_reference_00983","NC_017592_00925"
"ybaK","","hypothetical protein","14","14","1","1","4592","","","","446","482","479","AP023349_01381","GPSC15_reference_00912","GPSC21_reference_00471","GPSC22_reference_00898","GPSC26_reference_00918","GPSC31_reference_00911","GPSC32_reference_00981","GPSC34_reference_00935","GPSC37_reference_00926","GPSC3_reference_00972","GPSC40_reference_00928","GPSC4_reference_00874","GPSC8_reference_00982","NC_017592_00924"
"glnQ_4","","Glutamine transport ATP-binding protein GlnQ","14","14","1","1","2764","","","","629","629","629","AP023349_01385","GPSC15_reference_01307","GPSC21_reference_01353","GPSC22_reference_01352","GPSC26_reference_01452","GPSC31_reference_01368","GPSC32_reference_01495","GPSC34_reference_01348","GPSC37_reference_01342","GPSC3_reference_01452","GPSC40_reference_01344","GPSC4_reference_01380","GPSC8_reference_01466","NC_017592_01364"
"yecS","","L-cystine transport system permease protein YecS","14","14","1","1","2765","","","","641","641","641","AP023349_01386","GPSC15_reference_01308","GPSC21_reference_01354","GPSC22_reference_01353","GPSC26_reference_01453","GPSC31_reference_01369","GPSC32_reference_01496","GPSC34_reference_01349","GPSC37_reference_01343","GPSC3_reference_01453","GPSC40_reference_01345","GPSC4_reference_01381","GPSC8_reference_01467","NC_017592_01365"
"pgl","","6-phosphogluconolactonase","14","14","1","1","2768","","","","1013","1013","1013","AP023349_01389","GPSC15_reference_01311","GPSC21_reference_01357","GPSC22_reference_01356","GPSC26_reference_01456","GPSC31_reference_01372","GPSC32_reference_01499","GPSC34_reference_01352","GPSC37_reference_01346","GPSC3_reference_01456","GPSC40_reference_01348","GPSC4_reference_01384","GPSC8_reference_01470","NC_017592_01368"
"atpC","","ATP synthase epsilon chain","14","14","1","1","2770","","","","419","419","419","AP023349_01390","GPSC15_reference_01312","GPSC21_reference_01358","GPSC22_reference_01357","GPSC26_reference_01457","GPSC31_reference_01373","GPSC32_reference_01500","GPSC34_reference_01353","GPSC37_reference_01347","GPSC3_reference_01457","GPSC40_reference_01349","GPSC4_reference_01386","GPSC8_reference_01471","NC_017592_01369"
"atpF","","ATP synthase subunit b","14","14","1","1","2777","","","","494","494","494","AP023349_01396","GPSC15_reference_01317","GPSC21_reference_01363","GPSC22_reference_01362","GPSC26_reference_01462","GPSC31_reference_01378","GPSC32_reference_01505","GPSC34_reference_01358","GPSC37_reference_01352","GPSC3_reference_01462","GPSC40_reference_01354","GPSC4_reference_01391","GPSC8_reference_01476","NC_017592_01374"
"nagR","","HTH-type transcriptional repressor NagR","14","14","1","1","2241","","","","698","698","698","AP023349_01404","GPSC15_reference_01279","GPSC21_reference_01306","GPSC22_reference_01308","GPSC26_reference_01405","GPSC31_reference_01322","GPSC32_reference_01449","GPSC34_reference_01302","GPSC37_reference_01296","GPSC3_reference_01406","GPSC40_reference_01297","GPSC4_reference_01234","GPSC8_reference_01418","NC_017592_01320"
"yicL_1","","putative inner membrane transporter YicL","14","14","1","1","2240","","","","896","896","896","AP023349_01405","GPSC15_reference_01280","GPSC21_reference_01307","GPSC22_reference_01309","GPSC26_reference_01406","GPSC31_reference_01323","GPSC32_reference_01450","GPSC34_reference_01303","GPSC37_reference_01297","GPSC3_reference_01407","GPSC40_reference_01298","GPSC4_reference_01235","GPSC8_reference_01419","NC_017592_01321"
"ftsK","","DNA translocase FtsK","14","14","1","1","4714","","","","2303","2303","2303","AP023349_01416","GPSC15_reference_00813","GPSC21_reference_00836","GPSC22_reference_00795","GPSC26_reference_00820","GPSC31_reference_00809","GPSC32_reference_00879","GPSC34_reference_00833","GPSC37_reference_00825","GPSC3_reference_00810","GPSC40_reference_00827","GPSC4_reference_00775","GPSC8_reference_00878","NC_017592_00820"
"lacC_1","","Tagatose-6-phosphate kinase","14","14","1","1","4712","","","","911","911","911","AP023349_01418","GPSC15_reference_00811","GPSC21_reference_00834","GPSC22_reference_00793","GPSC26_reference_00818","GPSC31_reference_00807","GPSC32_reference_00877","GPSC34_reference_00831","GPSC37_reference_00823","GPSC3_reference_00808","GPSC40_reference_00825","GPSC4_reference_00773","GPSC8_reference_00876","NC_017592_00818"
"lacR_1","","Lactose phosphotransferase system repressor","14","14","1","1","1310","","","","740","740","740","AP023349_01419","GPSC15_reference_00810","GPSC21_reference_00833","GPSC22_reference_00792","GPSC26_reference_00817","GPSC31_reference_00806","GPSC32_reference_00876","GPSC34_reference_00830","GPSC37_reference_00822","GPSC3_reference_00807","GPSC40_reference_00824","GPSC4_reference_00772","GPSC8_reference_00875","NC_017592_00817"
"ybiV","","Sugar phosphatase YbiV","14","14","1","1","2235","","","","827","827","827","AP023349_01423","GPSC15_reference_01284","GPSC21_reference_01311","GPSC22_reference_01313","GPSC26_reference_01410","GPSC31_reference_01327","GPSC32_reference_01454","GPSC34_reference_01307","GPSC37_reference_01301","GPSC3_reference_01411","GPSC40_reference_01302","GPSC4_reference_01239","GPSC8_reference_01423","NC_017592_01325"
"group_1637","","Putative TrmH family tRNA/rRNA methyltransferase","14","14","1","1","2230","","","","635","728","721","AP023349_01426","GPSC15_reference_01288","GPSC21_reference_01315","GPSC22_reference_01317","GPSC26_reference_01414","GPSC31_reference_01331","GPSC32_reference_01457","GPSC34_reference_01311","GPSC37_reference_01305","GPSC3_reference_01415","GPSC40_reference_01306","GPSC4_reference_01243","GPSC8_reference_01427","NC_017592_01328"
"tcyN","","L-cystine import ATP-binding protein TcyN","14","14","1","1","2227","","","","743","743","743","AP023349_01429","GPSC15_reference_00753","GPSC21_reference_01318","GPSC22_reference_01320","GPSC26_reference_01417","GPSC31_reference_01334","GPSC32_reference_01460","GPSC34_reference_01314","GPSC37_reference_01308","GPSC3_reference_01418","GPSC40_reference_01309","GPSC4_reference_01246","GPSC8_reference_01430","NC_017592_01331"
"mgsR","","Regulatory protein MgsR","14","14","1","1","2225","","","","356","356","356","AP023349_01431","GPSC15_reference_00751","GPSC21_reference_01320","GPSC22_reference_01322","GPSC26_reference_01419","GPSC31_reference_01336","GPSC32_reference_01462","GPSC34_reference_01316","GPSC37_reference_01310","GPSC3_reference_01420","GPSC40_reference_01311","GPSC4_reference_01248","GPSC8_reference_01432","NC_017592_01333"
"group_1640","","hypothetical protein","14","14","1","1","4749","","","","443","446","445","AP023349_01435","GPSC15_reference_00748","GPSC21_reference_01323","GPSC22_reference_01325","GPSC26_reference_01422","GPSC31_reference_01339","GPSC32_reference_01465","GPSC34_reference_01319","GPSC37_reference_01313","GPSC3_reference_01423","GPSC40_reference_01314","GPSC4_reference_01251","GPSC8_reference_01435","NC_017592_01336"
"group_1641","","hypothetical protein","14","14","1","1","4800","","","","647","647","647","AP023349_01436","GPSC15_reference_00747","GPSC21_reference_01324","GPSC22_reference_01326","GPSC26_reference_01423","GPSC31_reference_01340","GPSC32_reference_01466","GPSC34_reference_01320","GPSC37_reference_01314","GPSC3_reference_01424","GPSC40_reference_01315","GPSC4_reference_01252","GPSC8_reference_01436","NC_017592_01337"
"urdA","","Urocanate reductase","14","14","1","1","4754","","","","605","605","605","AP023349_01444","GPSC15_reference_00742","GPSC21_reference_01329","GPSC22_reference_01331","GPSC26_reference_01428","GPSC31_reference_01345","GPSC32_reference_01471","GPSC34_reference_01325","GPSC37_reference_01319","GPSC3_reference_01429","GPSC40_reference_01322","GPSC4_reference_01257","GPSC8_reference_01441","NC_017592_01342"
"group_1644","","hypothetical protein","14","14","1","1","2723","","","","257","257","257","AP023349_01446","GPSC15_reference_00740","GPSC21_reference_01331","GPSC22_reference_01333","GPSC26_reference_01430","GPSC31_reference_01347","GPSC32_reference_01473","GPSC34_reference_01327","GPSC37_reference_01321","GPSC3_reference_01431","GPSC40_reference_01324","GPSC4_reference_01259","GPSC8_reference_01443","NC_017592_01344"
"metK","","S-adenosylmethionine synthase","14","14","1","1","2338","","","","1190","1190","1190","AP023349_01452","GPSC15_reference_00686","GPSC21_reference_00709","GPSC22_reference_00686","GPSC26_reference_00708","GPSC31_reference_00705","GPSC32_reference_00768","GPSC34_reference_00726","GPSC37_reference_00710","GPSC3_reference_00700","GPSC40_reference_00719","GPSC4_reference_00661","GPSC8_reference_00770","NC_017592_00709"
"cshB","","DEAD-box ATP-dependent RNA helicase CshB","14","14","1","1","2337","","","","1343","1385","1346","AP023349_01453","GPSC15_reference_00685","GPSC21_reference_00708","GPSC22_reference_00685","GPSC26_reference_00707","GPSC31_reference_00704","GPSC32_reference_00767","GPSC34_reference_00725","GPSC37_reference_00709","GPSC3_reference_00699","GPSC40_reference_00718","GPSC4_reference_00660","GPSC8_reference_00769","NC_017592_00708"
"ptsG_1","","PTS system glucose-specific EIICBA component","14","14","1","1","2335","","","","2180","2180","2180","AP023349_01455","GPSC15_reference_00683","GPSC21_reference_00706","GPSC22_reference_00683","GPSC26_reference_00705","GPSC31_reference_00702","GPSC32_reference_00765","GPSC34_reference_00723","GPSC37_reference_00707","GPSC3_reference_00697","GPSC40_reference_00716","GPSC4_reference_00658","GPSC8_reference_00767","NC_017592_00706"
"braC","","Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein","14","14","1","1","173","","","","1160","1160","1160","AP023349_01464","GPSC15_reference_00674","GPSC21_reference_00697","GPSC22_reference_00674","GPSC26_reference_00696","GPSC31_reference_00693","GPSC32_reference_00756","GPSC34_reference_00714","GPSC37_reference_00697","GPSC3_reference_00688","GPSC40_reference_00707","GPSC4_reference_00649","GPSC8_reference_00758","NC_017592_00697"
"group_1649","","hypothetical protein","14","14","1","1","174","","","","248","287","250","AP023349_01465","GPSC15_reference_00673","GPSC21_reference_00696","GPSC22_reference_00673","GPSC26_reference_00695","GPSC31_reference_00692","GPSC32_reference_00755","GPSC34_reference_00713","GPSC37_reference_00696","GPSC3_reference_00687","GPSC40_reference_00706","GPSC4_reference_00648","GPSC8_reference_00757","NC_017592_00696"
"group_1650","","DegV domain-containing protein","14","14","1","1","179","","","","845","845","845","AP023349_01470","GPSC15_reference_00668","GPSC21_reference_00691","GPSC22_reference_00668","GPSC26_reference_00690","GPSC31_reference_00687","GPSC32_reference_00750","GPSC34_reference_00708","GPSC37_reference_00691","GPSC3_reference_00682","GPSC40_reference_00701","GPSC4_reference_00643","GPSC8_reference_00752","NC_017592_00691"
"group_1651","","putative protein","14","14","1","1","180","","","","1172","1175","1174","AP023349_01471","GPSC15_reference_00667","GPSC21_reference_00690","GPSC22_reference_00667","GPSC26_reference_00689","GPSC31_reference_00686","GPSC32_reference_00749","GPSC34_reference_00707","GPSC37_reference_00690","GPSC3_reference_00681","GPSC40_reference_00700","GPSC4_reference_00642","GPSC8_reference_00751","NC_017592_00690"
"pox5","","Pyruvate oxidase","14","14","1","1","198","","","","1775","1775","1775","AP023349_01482","GPSC15_reference_00659","GPSC21_reference_00681","GPSC22_reference_00658","GPSC26_reference_00679","GPSC31_reference_00678","GPSC32_reference_00738","GPSC34_reference_00698","GPSC37_reference_00681","GPSC3_reference_00672","GPSC40_reference_00691","GPSC4_reference_00634","GPSC8_reference_00741","NC_017592_00683"
"group_1654","","hypothetical protein","14","14","1","1","196","","","","371","371","371","AP023349_01484","GPSC15_reference_00657","GPSC21_reference_00679","GPSC22_reference_00656","GPSC26_reference_00677","GPSC31_reference_00676","GPSC32_reference_00736","GPSC34_reference_00696","GPSC37_reference_00679","GPSC3_reference_00670","GPSC40_reference_00689","GPSC4_reference_00632","GPSC8_reference_00739","NC_017592_00681"
"group_1655","","hypothetical protein","14","14","1","1","1288","","","","752","752","752","AP023349_01493","GPSC15_reference_00633","GPSC21_reference_00655","GPSC22_reference_00630","GPSC26_reference_00651","GPSC31_reference_00653","GPSC32_reference_00710","GPSC34_reference_00675","GPSC37_reference_00655","GPSC3_reference_00646","GPSC40_reference_00666","GPSC4_reference_00609","GPSC8_reference_00715","NC_017592_00658"
"murD","","UDP-N-acetylmuramoylalanine--D-glutamate ligase","14","14","1","1","1067","","","","1340","1352","1351","AP023349_01500","GPSC15_reference_00627","GPSC21_reference_00648","GPSC22_reference_00623","GPSC26_reference_00634","GPSC31_reference_00637","GPSC32_reference_00703","GPSC34_reference_00669","GPSC37_reference_00648","GPSC3_reference_00639","GPSC40_reference_00659","GPSC4_reference_00596","GPSC8_reference_00708","NC_017592_00651"
"group_1657","","hypothetical protein","14","14","1","1","1073","","","","254","254","254","AP023349_01503","GPSC15_reference_00623","GPSC21_reference_00644","GPSC22_reference_00620","GPSC26_reference_00631","GPSC31_reference_00633","GPSC32_reference_00698","GPSC34_reference_00665","GPSC37_reference_00644","GPSC3_reference_00635","GPSC40_reference_00656","GPSC4_reference_00593","GPSC8_reference_00704","NC_017592_00647"
"glpE","","Thiosulfate sulfurtransferase GlpE","14","14","1","1","1078","","","","380","383","380","AP023349_01506","GPSC15_reference_00619","GPSC21_reference_00640","GPSC22_reference_00616","GPSC26_reference_00627","GPSC31_reference_00629","GPSC32_reference_00694","GPSC34_reference_00661","GPSC37_reference_00640","GPSC3_reference_00631","GPSC40_reference_00652","GPSC4_reference_00590","GPSC8_reference_00700","NC_017592_00643"
"group_1659","","hypothetical protein","14","14","1","1","1084","","","","230","269","266","AP023349_01507","GPSC15_reference_00618","GPSC21_reference_00639","GPSC22_reference_00615","GPSC26_reference_00626","GPSC31_reference_00628","GPSC32_reference_00693","GPSC34_reference_00660","GPSC37_reference_00639","GPSC3_reference_00630","GPSC40_reference_00651","GPSC4_reference_00589","GPSC8_reference_00699","NC_017592_00642"
"hdfR","","HTH-type transcriptional regulator HdfR","14","14","1","1","1087","","","","908","968","963","AP023349_01514","GPSC15_reference_00617","GPSC21_reference_00638","GPSC22_reference_00614","GPSC26_reference_00625","GPSC31_reference_00627","GPSC32_reference_00692","GPSC34_reference_00659","GPSC37_reference_00638","GPSC3_reference_00629","GPSC40_reference_00650","GPSC4_reference_00588","GPSC8_reference_00698","NC_017592_00641"
"hflX","","GTPase HflX","14","14","1","1","1093","","","","1238","1238","1238","AP023349_01520","GPSC15_reference_00613","GPSC21_reference_00634","GPSC22_reference_00610","GPSC26_reference_00621","GPSC31_reference_00623","GPSC32_reference_00688","GPSC34_reference_00655","GPSC37_reference_00634","GPSC3_reference_00625","GPSC40_reference_00646","GPSC4_reference_00584","GPSC8_reference_00694","NC_017592_00637"
"thyA","","Thymidylate synthase","14","14","1","1","1096","","","","839","839","839","AP023349_01523","GPSC15_reference_00610","GPSC21_reference_00631","GPSC22_reference_00607","GPSC26_reference_00618","GPSC31_reference_00620","GPSC32_reference_00685","GPSC34_reference_00652","GPSC37_reference_00631","GPSC3_reference_00622","GPSC40_reference_00643","GPSC4_reference_00581","GPSC8_reference_00691","NC_017592_00634"
"group_1663","","putative response regulatory protein","14","14","1","1","1115","","","","737","737","737","AP023349_01533","GPSC15_reference_00602","GPSC21_reference_00623","GPSC22_reference_00599","GPSC26_reference_00610","GPSC31_reference_00612","GPSC32_reference_00677","GPSC34_reference_00644","GPSC37_reference_00623","GPSC3_reference_00614","GPSC40_reference_00635","GPSC4_reference_00573","GPSC8_reference_00683","NC_017592_00626"
"msrAB","","Peptide methionine sulfoxide reductase MsrA/MsrB","14","14","1","1","1116","","","","1112","1112","1112","AP023349_01534","GPSC15_reference_00601","GPSC21_reference_00622","GPSC22_reference_00598","GPSC26_reference_00609","GPSC31_reference_00611","GPSC32_reference_00676","GPSC34_reference_00643","GPSC37_reference_00622","GPSC3_reference_00613","GPSC40_reference_00634","GPSC4_reference_00572","GPSC8_reference_00682","NC_017592_00625"
"nadE","","NH(3)-dependent NAD(+) synthetase","14","14","1","1","2192","","","","818","824","823","AP023349_01538","GPSC15_reference_01256","GPSC21_reference_01285","GPSC22_reference_01296","GPSC26_reference_01382","GPSC31_reference_01300","GPSC32_reference_01427","GPSC34_reference_01290","GPSC37_reference_01285","GPSC3_reference_01384","GPSC40_reference_01285","GPSC4_reference_01212","GPSC8_reference_01393","NC_017592_01297"
"pncB2","","Nicotinate phosphoribosyltransferase pncB2","14","14","1","1","2194","","","","1460","1460","1460","AP023349_01539","GPSC15_reference_01257","GPSC21_reference_01286","GPSC22_reference_01297","GPSC26_reference_01383","GPSC31_reference_01301","GPSC32_reference_01428","GPSC34_reference_01291","GPSC37_reference_01286","GPSC3_reference_01385","GPSC40_reference_01286","GPSC4_reference_01213","GPSC8_reference_01394","NC_017592_01298"
"greA","","Transcription elongation factor GreA","14","14","1","1","2790","","","","482","482","482","AP023349_01544","GPSC15_reference_01322","GPSC21_reference_01368","GPSC22_reference_01367","GPSC26_reference_01468","GPSC31_reference_01383","GPSC32_reference_01509","GPSC34_reference_01363","GPSC37_reference_01357","GPSC3_reference_01467","GPSC40_reference_01360","GPSC4_reference_01396","GPSC8_reference_01481","NC_017592_01379"
"mltG","","Endolytic murein transglycosylase","14","14","1","1","2793","","","","1481","1655","1642","AP023349_01545","GPSC15_reference_01323","GPSC21_reference_01369","GPSC22_reference_01368","GPSC26_reference_01469","GPSC31_reference_01384","GPSC32_reference_01510","GPSC34_reference_01364","GPSC37_reference_01358","GPSC3_reference_01468","GPSC40_reference_01361","GPSC4_reference_01397","GPSC8_reference_01482","NC_017592_01380"
"murC","","UDP-N-acetylmuramate--L-alanine ligase","14","14","1","1","2797","","","","1334","1334","1334","AP023349_01548","GPSC15_reference_01326","GPSC21_reference_01371","GPSC22_reference_01372","GPSC26_reference_01472","GPSC31_reference_01387","GPSC32_reference_01513","GPSC34_reference_01367","GPSC37_reference_01361","GPSC3_reference_01471","GPSC40_reference_01364","GPSC4_reference_01400","GPSC8_reference_01485","NC_017592_01383"
"group_1670","","hypothetical protein","14","14","1","1","2798","","","","617","617","617","AP023349_01549","GPSC15_reference_01327","GPSC21_reference_01372","GPSC22_reference_01373","GPSC26_reference_01473","GPSC31_reference_01388","GPSC32_reference_01514","GPSC34_reference_01368","GPSC37_reference_01362","GPSC3_reference_01472","GPSC40_reference_01365","GPSC4_reference_01401","GPSC8_reference_01486","NC_017592_01384"
"rapA","","RNA polymerase-associated protein RapA","14","14","1","1","2799","","","","1928","3104","3014","AP023349_01550","GPSC15_reference_01328","GPSC21_reference_01373","GPSC22_reference_01374","GPSC26_reference_01474","GPSC31_reference_01389","GPSC32_reference_01515","GPSC34_reference_01369","GPSC37_reference_01363","GPSC3_reference_01473","GPSC40_reference_01366","GPSC4_reference_01402","GPSC8_reference_01487","NC_017592_01385"
"yfiC","","tRNA1(Val) (adenine(37)-N6)-methyltransferase","14","14","1","1","2819","","","","749","749","749","AP023349_01563","GPSC15_reference_01341","GPSC21_reference_01386","GPSC22_reference_01386","GPSC26_reference_01488","GPSC31_reference_01404","GPSC32_reference_01528","GPSC34_reference_01382","GPSC37_reference_01378","GPSC3_reference_01486","GPSC40_reference_01379","GPSC4_reference_01415","GPSC8_reference_01500","NC_017592_01399"
"group_1674","","Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase","14","14","1","1","2821","","","","1400","1400","1400","AP023349_01565","GPSC15_reference_01343","GPSC21_reference_01388","GPSC22_reference_01388","GPSC26_reference_01490","GPSC31_reference_01406","GPSC32_reference_01530","GPSC34_reference_01384","GPSC37_reference_01380","GPSC3_reference_01488","GPSC40_reference_01381","GPSC4_reference_01417","GPSC8_reference_01502","NC_017592_01401"
"ssb_1","","Single-stranded DNA-binding protein","14","14","1","1","2823","","","","455","470","468","AP023349_01568","GPSC15_reference_01345","GPSC21_reference_01390","GPSC22_reference_01390","GPSC26_reference_01492","GPSC31_reference_01408","GPSC32_reference_01532","GPSC34_reference_01386","GPSC37_reference_01382","GPSC3_reference_01490","GPSC40_reference_01383","GPSC4_reference_01419","GPSC8_reference_01504","NC_017592_01403"
"group_1678","","hypothetical protein","14","14","1","1","2836","","","","545","548","547","AP023349_01581","GPSC15_reference_01351","GPSC21_reference_01396","GPSC22_reference_01396","GPSC26_reference_01498","GPSC31_reference_01414","GPSC32_reference_01538","GPSC34_reference_01391","GPSC37_reference_01388","GPSC3_reference_01496","GPSC40_reference_01389","GPSC4_reference_01425","GPSC8_reference_01510","NC_017592_01409"
"group_1679","","hypothetical protein","14","14","1","1","2842","","","","1595","1595","1595","AP023349_01586","GPSC15_reference_01354","GPSC21_reference_01399","GPSC22_reference_01399","GPSC26_reference_01505","GPSC31_reference_01419","GPSC32_reference_01541","GPSC34_reference_01396","GPSC37_reference_01391","GPSC3_reference_01499","GPSC40_reference_01392","GPSC4_reference_01430","GPSC8_reference_01515","NC_017592_01412"
"fieF","","Ferrous-iron efflux pump FieF","14","14","1","1","2847","","","","1184","1184","1184","AP023349_01589","GPSC15_reference_01358","GPSC21_reference_01403","GPSC22_reference_01403","GPSC26_reference_01509","GPSC31_reference_01423","GPSC32_reference_01545","GPSC34_reference_01400","GPSC37_reference_01395","GPSC3_reference_01503","GPSC40_reference_01396","GPSC4_reference_01434","GPSC8_reference_01519","NC_017592_01416"
"ettA","","Energy-dependent translational throttle protein EttA","14","14","1","1","2848","","","","1871","1871","1871","AP023349_01590","GPSC15_reference_01359","GPSC21_reference_01404","GPSC22_reference_01404","GPSC26_reference_01510","GPSC31_reference_01424","GPSC32_reference_01546","GPSC34_reference_01401","GPSC37_reference_01396","GPSC3_reference_01504","GPSC40_reference_01397","GPSC4_reference_01435","GPSC8_reference_01520","NC_017592_01417"
"cca","","CCA-adding enzyme","14","14","1","1","2849","","","","1064","1184","1175","AP023349_01591","GPSC15_reference_01360","GPSC21_reference_01405","GPSC22_reference_01405","GPSC26_reference_01511","GPSC31_reference_01425","GPSC32_reference_01547","GPSC34_reference_01402","GPSC37_reference_01397","GPSC3_reference_01505","GPSC40_reference_01398","GPSC4_reference_01436","GPSC8_reference_01521","NC_017592_01418"
